time,xAcc,xGyro
0.0000,0.5802,0.1040
0.0500,0.5397,0.5160
0.1000,0.5156,0.5363
0.1500,0.4178,0.4046
0.2000,0.4517,0.4741
0.2500,0.4383,0.2369
0.3000,0.4584,0.2463
0.3500,0.3550,0.3066
0.4000,0.3345,0.4370
0.4500,0.2916,0.1355
0.5000,0.3675,0.1631
0.5500,0.3817,0.3509
0.6000,0.3746,0.4256
0.6500,0.3453,0.6052
0.7000,0.2773,0.8767
0.7500,0.1661,0.6702
0.8000,0.0811,0.2451
0.8500,-0.0065,-0.2821
0.9000,-0.0194,-0.3555
0.9500,0.1627,-0.0033
1.0000,0.4030,0.5438
1.0500,0.5218,0.9274
1.1000,0.4014,1.7764
1.1500,0.6694,1.7446
1.2000,0.7593,0.6394
1.2500,0.6379,0.4662
1.3000,0.6821,0.5301
1.3500,0.5449,0.4562
1.4000,0.5431,0.3829
1.4500,0.4762,0.3742
1.5000,0.3202,0.1377
1.5500,0.3050,0.2807
1.6000,0.3080,0.6236
1.6500,0.2579,0.5272
1.7000,0.1295,0.1848
1.7500,-0.0875,-0.3148
1.8000,-0.2225,0.0296
1.8500,-0.3204,0.3724
1.9000,-0.2363,0.5956
1.9500,-0.0339,0.0360
2.0000,0.0354,0.1211
2.0500,0.0520,0.0699
2.1000,0.1553,-0.0574
2.1500,0.1852,-0.0625
2.2000,0.2130,-0.2829
2.2500,0.3420,-0.3407
2.3000,0.4222,-0.5087
2.3500,0.4051,-0.6255
2.4000,0.3569,-1.2088
2.4500,0.4000,-1.7891
2.5000,0.4975,-1.2734
2.5500,0.4486,-0.9337
2.6000,0.3171,-0.6489
2.6500,0.2894,0.0269
2.7000,0.3999,1.7454
2.7500,0.3722,1.8379
2.8000,0.3413,0.8652
2.8500,0.3095,0.2155
2.9000,0.3100,-0.0981
2.9500,0.2884,0.0642
3.0000,0.2444,0.3166
3.0500,0.1324,0.1377
3.1000,0.0539,0.3150
3.1500,-0.0538,0.7893
3.2000,-0.1469,1.2638
3.2500,-0.2460,1.1084
3.3000,0.0052,0.3496
3.3500,0.1499,-0.6830
3.4000,0.2644,-0.5828
3.4500,0.2687,-0.0008
3.5000,0.3091,-0.0616
3.5500,0.3555,-0.4265
3.6000,0.5107,-0.4609
3.6500,0.4544,-0.6259
3.7000,0.5253,-0.3151
3.7500,0.5944,-0.2880
3.8000,0.5265,-0.0649
3.8500,0.5372,-0.0398
3.9000,0.3035,0.4609
3.9500,0.1903,0.5756
4.0000,0.2773,-0.1154
4.0500,0.6970,-1.2643
4.1000,0.5496,-1.3225
4.1500,0.6053,-1.3108
4.2000,0.6050,-1.0287
4.2500,0.5619,-0.2544
4.3000,0.4924,-0.3931
4.3500,0.1713,-0.0640
4.4000,0.2816,0.0669
4.4500,0.1928,0.2314
4.5000,0.2482,0.5741
4.5500,0.2578,0.6849
4.6000,0.1873,0.4657
4.6500,0.2120,0.3554
4.7000,0.1655,0.3536
4.7500,0.1221,0.3625
4.8000,0.2291,0.3967
4.8500,0.2678,0.2218
4.9000,0.2249,-0.1018
4.9500,0.2929,0.1707
5.0000,0.3833,-0.0176
5.0500,0.1098,-0.7119
5.1000,0.2032,-0.5967
5.1500,0.3157,-0.4503
5.2000,0.2278,-0.6915
5.2500,0.2605,-0.6433
5.3000,0.3088,-0.2133
5.3500,0.3239,-0.0483
5.4000,0.3655,-0.1437
5.4500,0.4052,-0.0140
5.5000,0.4028,0.1118
5.5500,0.3859,0.1135
5.6000,0.4077,0.1840
5.6500,0.3898,0.1221
5.7000,0.4168,0.1448
5.7500,0.3873,-0.0694
5.8000,0.3731,-0.0056
5.8500,0.3866,0.0583
5.9000,0.3777,-0.0105
5.9500,0.4062,0.1048
6.0000,0.3513,-0.0437
6.0500,0.3997,0.0871
6.1000,0.3717,0.0428
6.1500,0.3850,-0.0811
6.2000,0.4001,0.0175
6.2500,0.3541,0.0660
6.3000,0.3906,0.0849
6.3500,0.3728,0.0294
6.4000,0.3593,0.0089
6.4500,0.4044,-0.0574
6.5000,0.4029,-0.0673
6.5500,0.4021,0.0272
6.6000,0.3979,-0.0402
6.6500,0.3971,0.0741
6.7000,0.4291,0.0270
6.7500,0.4401,0.0933
6.8000,0.3993,0.1022
6.8500,0.4014,-0.0512
6.9000,0.4117,-0.0160
6.9500,0.3876,-0.2216
7.0000,0.4274,0.0114
7.0500,0.4406,0.0379
7.1000,0.4447,-0.0680
7.1500,0.4082,-0.1920
7.2000,0.4116,0.1129
7.2500,0.4067,0.2158
7.3000,0.4113,0.1533
7.3500,0.3877,0.0523
7.4000,0.4209,-0.0909
7.4500,0.4353,-0.1954
7.5000,0.3997,-0.3195
7.5500,0.5163,0.1647
7.6000,0.4527,0.0726
7.6500,0.3732,-0.0500
7.7000,0.3354,-0.0465
7.7500,0.3212,-0.0344
7.8000,0.3125,0.3347
7.8500,0.2742,-0.0176
7.9000,0.3218,-0.0223
7.9500,0.3770,0.0575
8.0000,0.3210,0.1109
8.0500,0.3413,0.0479
8.1000,0.3173,-0.0227
8.1500,0.3706,-0.1087
8.2000,0.3696,-0.1028
8.2500,0.3812,-0.0380
8.3000,0.3633,-0.1443
8.3500,0.3178,-0.1255
8.4000,0.3664,-0.0846
8.4500,0.4403,-0.1620
8.5000,0.4666,-0.0760
8.5500,0.4505,-0.1213
8.6000,0.3971,-0.0054
8.6500,0.3950,-0.0557
8.7000,0.4257,0.1439
8.7500,0.4464,0.0766
8.8000,0.4321,0.0801
8.8500,0.4262,-0.0476
8.9000,0.4266,0.0207
8.9500,0.4694,0.2081
9.0000,0.4416,0.0032
9.0500,0.4225,0.0874
9.1000,0.4168,0.0716
9.1500,0.4414,0.0109
9.2000,0.4221,-0.0115
9.2500,0.4430,-0.1421
9.3000,0.4104,-0.0138
9.3500,0.4496,-0.1618
9.4000,0.4541,-0.0228
9.4500,0.4696,0.0902
9.5000,0.4689,0.1031
9.5500,0.4569,0.1430
9.6000,0.4378,0.0722
9.6500,0.4004,-0.0978
9.7000,0.4123,-0.1850
9.7500,0.4049,-0.1583
9.8000,0.4926,-0.1378
9.8500,0.4850,-0.2129
9.9000,0.4109,-0.3707
9.9500,0.4030,-0.2413
10.0000,0.3748,-0.0751
