time,xAcc,xGyro
0.0000,0.5355,0.0179
0.0500,0.5032,0.1763
0.1000,0.5005,0.0869
0.1500,0.4868,0.2952
0.2000,0.4946,0.2990
0.2500,0.5013,0.2712
0.3000,0.4445,0.2263
0.3500,0.4602,0.1903
0.4000,0.4554,-0.3802
0.4500,0.3977,0.1543
0.5000,0.4076,0.1805
0.5500,0.4328,-0.0104
0.6000,0.3342,-0.2656
0.6500,0.3654,-0.1123
0.7000,0.3178,-0.0108
0.7500,0.3521,0.0904
0.8000,0.3227,0.0609
0.8500,0.3324,0.1493
0.9000,0.3385,0.1462
0.9500,0.4469,-0.0672
1.0000,0.3020,0.2172
1.0500,0.3556,0.3854
1.1000,0.4001,0.0644
1.1500,0.3887,-0.1725
1.2000,0.4037,-0.1570
1.2500,0.3924,-0.1385
1.3000,0.4032,-0.3621
1.3500,0.4496,0.0725
1.4000,0.5726,0.2747
1.4500,0.6089,0.0918
1.5000,0.6554,-0.0551
1.5500,0.7408,0.2558
1.6000,0.7697,0.1686
1.6500,0.7479,0.2592
1.7000,0.7264,0.2835
1.7500,0.7096,0.1628
1.8000,0.8152,0.2179
1.8500,0.8002,0.5333
1.9000,0.7526,0.3266
1.9500,0.6933,0.2094
2.0000,0.6512,0.1766
2.0500,0.6057,0.2158
2.1000,0.5946,0.3106
2.1500,0.5377,0.2219
2.2000,0.4825,0.3241
2.2500,0.4218,0.3727
2.3000,0.3942,0.3812
2.3500,0.3939,0.2257
2.4000,0.2882,-0.1890
2.4500,0.1606,-0.0989
2.5000,0.1666,0.1273
2.5500,0.2185,0.2411
2.6000,0.1963,0.0447
2.6500,0.1781,0.0629
2.7000,0.1277,-0.1132
2.7500,0.2285,-0.7654
2.8000,0.1096,-0.6190
2.8500,0.3305,0.1153
2.9000,0.4755,0.1556
2.9500,0.3766,-0.0405
3.0000,0.2950,-0.0874
3.0500,0.3178,-0.0706
3.1000,0.3659,0.2852
3.1500,0.4621,0.4269
3.2000,0.5421,0.1394
3.2500,0.5460,-0.0681
3.3000,0.5101,0.0950
3.3500,0.5136,0.1210
3.4000,0.5598,0.0161
3.4500,0.7326,-0.0351
3.5000,0.5804,-0.0208
3.5500,0.4050,0.0182
3.6000,0.4237,-0.0272
3.6500,0.6074,-0.2547
3.7000,0.6607,-0.1275
3.7500,0.5744,0.2532
3.8000,0.5715,0.3117
3.8500,0.5705,0.6062
3.9000,0.8293,0.5371
3.9500,0.7590,0.4659
4.0000,0.7868,0.4816
4.0500,0.8032,0.9844
4.1000,0.7313,1.0884
4.1500,0.7124,0.4884
4.2000,0.7693,0.0174
4.2500,0.7032,-0.0262
4.3000,0.7046,0.0333
4.3500,0.7149,-0.1545
4.4000,0.6368,-0.2598
4.4500,0.5685,-0.2128
4.5000,0.5606,-0.1882
4.5500,0.5429,-0.2329
4.6000,0.4765,-0.0804
4.6500,0.5842,-0.3018
4.7000,0.6620,-1.0082
4.7500,0.6586,-0.8940
4.8000,0.5193,-0.5174
4.8500,0.4032,-0.2493
4.9000,0.3904,-0.1841
4.9500,0.4014,-0.3597
5.0000,0.4201,-0.2790
5.0500,0.5074,-0.0827
5.1000,0.5944,0.1647
5.1500,0.5920,0.5478
5.2000,0.6089,0.3325
5.2500,0.6633,0.1503
5.3000,0.7375,0.0994
5.3500,0.7269,0.4021
5.4000,0.7728,0.6782
5.4500,0.7810,0.4098
5.5000,0.8213,0.1518
5.5500,0.8528,0.1127
5.6000,0.8439,-0.1882
5.6500,0.7193,-0.3850
5.7000,0.8282,-0.2943
5.7500,0.8476,-0.2554
5.8000,0.6372,-0.3267
5.8500,0.6252,-0.2514
5.9000,0.6298,-0.1913
5.9500,0.6476,-0.2563
6.0000,0.5595,-0.2358
6.0500,0.5881,0.0447
6.1000,0.5720,-0.0327
6.1500,0.5679,0.0397
6.2000,0.5995,0.3684
6.2500,0.5632,0.1583
6.3000,0.5084,0.3415
6.3500,0.5896,0.3064
6.4000,0.5445,0.1705
6.4500,0.5429,0.2568
6.5000,0.4501,0.0350
6.5500,0.4889,0.1443
6.6000,0.5255,0.0606
6.6500,0.5061,0.0483
6.7000,0.5797,0.0436
6.7500,0.6216,0.0503
6.8000,0.7046,0.2209
6.8500,0.6681,0.2639
6.9000,0.7138,0.2254
6.9500,0.7030,0.3247
7.0000,0.7152,0.2292
7.0500,0.7223,0.1819
7.1000,0.7274,-0.0607
7.1500,0.7137,-0.0696
7.2000,0.6692,-0.0417
7.2500,0.5575,-0.0592
7.3000,0.4787,-0.0137
7.3500,0.4835,0.0476
7.4000,0.4938,0.1307
7.4500,0.4722,0.2400
7.5000,0.4324,0.1803
7.5500,0.4033,0.0431
7.6000,0.4151,-0.0224
7.6500,0.3899,-0.0097
7.7000,0.3572,0.0110
7.7500,0.3203,0.0765
7.8000,0.3087,-0.0152
7.8500,0.2751,-0.3129
7.9000,0.2912,-0.1743
7.9500,0.3023,0.0787
8.0000,0.3034,0.0167
8.0500,0.3068,-0.0895
8.1000,0.3358,-0.0807
8.1500,0.3702,0.0607
8.2000,0.4173,0.1196
8.2500,0.4382,-0.0034
8.3000,0.4841,0.0684
8.3500,0.5635,0.1828
8.4000,0.5673,0.1670
8.4500,0.5494,0.2468
8.5000,0.6007,0.3213
8.5500,0.6235,0.3042
8.6000,0.6183,0.2172
8.6500,0.5993,0.2238
8.7000,0.6143,0.1594
8.7500,0.6517,0.1057
8.8000,0.6575,-0.0272
8.8500,0.6248,-0.0128
8.9000,0.5970,0.1015
8.9500,0.6193,0.0149
9.0000,0.6248,0.0421
9.0500,0.6220,0.0813
9.1000,0.6357,-0.0027
9.1500,0.6264,-0.0041
9.2000,0.6524,-0.0817
9.2500,0.6572,-0.1274
9.3000,0.5939,0.0105
9.3500,0.6055,-0.0340
9.4000,0.6444,-0.0935
9.4500,0.6867,-0.1723
9.5000,0.6865,0.0275
9.5500,0.6913,0.1167
9.6000,0.6930,0.0797
9.6500,0.7090,0.0139
9.7000,0.7038,-0.0414
9.7500,0.7139,0.0099
9.8000,0.7296,0.0360
9.8500,0.6500,-0.0170
9.9000,0.5929,-0.1009
9.9500,0.5428,-0.1180
10.0000,0.5309,-0.2079
