time,wx,wy,wz
0.00867605209350586,-0.86,1.19,0.69
0.012125015258789062,-1.07,1.69,0.92
0.020794153213500977,-1.28,1.63,1.08
0.031288862228393555,-1.44,1.12,1.17
0.04154801368713379,-1.47,0.47,1.4
0.05138802528381348,-1.28,0.02,1.66
0.06177115440368652,-0.86,-0.07,1.88
0.07392191886901855,-0.32,0.14,2.04
0.08463501930236816,0.25,0.46,2.17
0.09188294410705566,0.86,0.79,2.3
0.1017448902130127,1.48,1.14,2.42
0.11247897148132324,2.07,1.22,2.46
0.12190508842468262,2.65,1.19,2.33
0.13278698921203613,3.24,1.39,2.0
0.14372897148132324,3.88,1.66,1.52
0.15304017066955566,4.46,1.8,1.03
0.1635580062866211,4.93,1.69,0.56
0.1736750602722168,5.15,1.48,0.06
0.19138216972351074,3.96,0.12,-0.61
0.19306302070617676,2.48,-0.97,-0.99
0.213698148727417,1.25,-1.04,-1.32
0.21396398544311523,1.25,-1.04,-1.32
0.22324585914611816,0.82,0.31,-1.61
0.23358416557312012,0.68,1.2,-1.44
0.24410796165466309,0.56,1.31,-1.09
0.25375819206237793,0.43,0.87,-0.8
0.26433801651000977,0.36,0.33,-0.55
0.2915670871734619,0.5,-0.59,-0.25
0.29183506965637207,0.5,-0.59,-0.25
0.29357099533081055,0.48,-1.14,-0.31
0.30334901809692383,0.22,-1.66,-0.58
0.3137390613555908,-0.2,-2.07,-0.88
0.3242008686065674,-0.81,-2.39,-0.99
0.3340890407562256,-1.53,-2.48,-0.74
0.34472203254699707,-2.2,-2.06,-0.42
0.3541240692138672,-2.85,-1.16,-0.18
0.3651599884033203,-3.47,1.43,0.21
0.3902418613433838,-4.07,1.8,0.69
0.3904600143432617,-4.07,1.8,0.69
0.3945181369781494,-4.3,1.14,0.68
0.4041910171508789,-4.43,0.5,0.94
0.41492199897766113,-4.33,0.15,1.16
0.4252300262451172,-3.9,-0.61,1.47
0.43480706214904785,-3.15,-1.73,1.73
0.44574713706970215,-2.13,-2.45,1.28
0.45574116706848145,-1.07,-2.59,0.2
0.4658370018005371,-0.55,-2.01,-0.26
0.49057507514953613,-0.82,-0.26,0.22
0.49084019660949707,-0.82,-0.26,0.22
0.4947700500488281,-1.56,0.63,0.09
0.5050299167633057,-2.34,1.45,0.05
0.5157091617584229,-2.89,2.4,0.25
0.526494026184082,-2.84,3.39,0.14
0.5361170768737793,-2.05,4.07,-0.06
0.5468051433563232,-0.8,4.03,-0.27
0.5566298961639404,0.61,3.15,-0.63
0.5669071674346924,1.8,1.51,-1.13
0.5937330722808838,2.75,-2.81,-2.77
0.594001054763794,2.75,-2.81,-2.77
0.5959210395812988,2.55,-4.88,-3.37
0.6063220500946045,1.92,-6.34,-3.63
