time,wx,wy,wz
0.00600886344909668,-0.07,-0.16,-0.12
0.01248478889465332,-0.08,-0.24,-0.14
0.022626876831054688,-0.08,-0.11,-0.13
0.03249692916870117,-0.1,0.05,-0.09
0.042546749114990234,-0.15,0.31,-0.08
0.05263090133666992,-0.24,0.62,-0.07
0.06263971328735352,-0.26,0.68,-0.02
0.07260894775390625,-0.18,0.7,-0.02
0.08510875701904297,-0.07,0.54,0.01
0.09244775772094727,0.01,0.39,0.09
0.10241174697875977,0.0,0.36,0.17
0.11236572265625,-0.08,0.39,0.25
0.12347793579101562,-0.19,0.39,0.29
0.13262486457824707,-0.3,0.35,0.32
0.1437087059020996,-0.37,0.36,0.32
0.15241384506225586,-0.37,0.39,0.28
0.16259765625,-0.33,0.37,0.24
0.17366480827331543,-0.29,0.26,0.22
0.18226981163024902,-0.22,0.15,0.21
0.1924288272857666,-0.07,0.23,0.2
0.20360183715820312,0.08,0.21,0.2
0.21338891983032227,0.16,-0.01,0.22
0.22221779823303223,0.15,-0.09,0.23
0.2322688102722168,0.06,0.08,0.26
0.24361467361450195,-0.15,0.17,0.29
0.2522108554840088,-0.37,0.13,0.28
0.2622368335723877,-0.55,0.09,0.25
0.27245283126831055,-0.66,0.01,0.21
0.28223586082458496,-0.69,-0.18,0.19
0.2922368049621582,-0.67,-0.4,0.22
0.30338287353515625,-0.61,-0.62,0.27
0.3132147789001465,-0.52,-0.72,0.29
0.3221616744995117,-0.41,-0.69,0.27
0.33233070373535156,-0.33,-0.54,0.27
0.343181848526001,-0.29,-0.24,0.27
0.3521766662597656,-0.29,0.1,0.26
0.3621518611907959,-0.32,0.47,0.28
0.3721318244934082,-0.33,0.56,0.31
0.38299989700317383,-0.31,0.37,0.34
0.3922088146209717,-0.33,0.08,0.37
0.40212297439575195,-0.41,-0.25,0.4
0.41303491592407227,-0.53,-0.5,0.37
0.4220907688140869,-0.62,-0.58,0.28
0.4322237968444824,-0.7,-0.47,0.15
0.443112850189209,-0.72,-0.29,0.03
0.45211172103881836,-0.66,-0.13,-0.03
0.462615966796875,-0.53,-0.01,-0.04
0.4730367660522461,-0.36,0.04,0.0
0.4829528331756592,-0.22,0.04,0.08
0.4920468330383301,-0.11,0.08,0.17
0.5020136833190918,-0.04,0.11,0.22
0.5129728317260742,-0.02,0.09,0.22
0.5230827331542969,-0.04,0.12,0.19
0.5321638584136963,-0.09,0.22,0.15
0.5431709289550781,-0.14,0.35,0.11
0.5520157814025879,-0.17,0.41,0.07
0.5621137619018555,-0.18,0.4,0.03
0.5719988346099854,-0.18,0.34,0.0
0.5819969177246094,-0.21,0.25,0.0
0.5920658111572266,-0.25,0.19,0.01
0.6031289100646973,-0.27,0.14,-0.01
0.6135387420654297,-0.28,0.08,-0.04
0.6219358444213867,-0.32,-0.05,-0.06
0.6322526931762695,-0.38,-0.21,-0.08
0.6430349349975586,-0.45,-0.34,-0.08
0.651911735534668,-0.5,-0.34,-0.1
0.6618728637695312,-0.52,-0.2,-0.09
0.6735529899597168,-0.52,0.02,-0.06
0.6818666458129883,-0.51,0.25,0.0
0.6918807029724121,-0.48,0.49,0.05
0.7030727863311768,-0.47,0.77,0.07
0.7131178379058838,-0.52,1.04,0.07
0.7218468189239502,-0.59,1.16,0.08
0.7318639755249023,-0.65,1.11,0.08
0.7417879104614258,-0.69,0.97,0.1
0.7518539428710938,-0.74,0.74,0.12
0.7619867324829102,-0.77,0.45,0.14
0.773676872253418,-0.81,0.09,0.1
0.7816598415374756,-0.83,-0.23,-0.02
0.7917146682739258,-0.8,-0.46,-0.2
0.8028337955474854,-0.74,-0.56,-0.38
0.8126287460327148,-0.68,-0.56,-0.51
0.8228058815002441,-0.59,-0.45,-0.58
0.8316757678985596,-0.49,-0.24,-0.6
0.8428428173065186,-0.4,-0.05,-0.56
0.8517148494720459,-0.31,0.1,-0.5
0.8616876602172852,-0.22,0.1,-0.49
0.8718998432159424,-0.14,-0.07,-0.5
0.8825888633728027,-0.05,-0.3,-0.53
0.8916459083557129,0.06,-0.5,-0.57
0.902681827545166,0.19,-0.6,-0.61
0.9125657081604004,0.36,-0.6,-0.65
0.9219667911529541,0.53,-0.52,-0.67
0.9315638542175293,0.7,-0.42,-0.69
0.9427428245544434,0.84,-0.35,-0.66
