time,wx,wy,wz
0.008549213409423828,-0.29,-0.15,-0.08
0.018319129943847656,-0.18,-0.1,-0.16
0.028245210647583008,-0.09,-0.06,-0.2
0.038433074951171875,-0.03,-0.05,-0.24
0.04837512969970703,0.03,-0.06,-0.24
0.05845308303833008,0.06,-0.08,-0.21
0.06823420524597168,0.06,-0.09,-0.16
0.07874822616577148,0.04,-0.05,-0.12
0.08875131607055664,0.0,0.01,-0.1
0.09833621978759766,-0.04,0.06,-0.1
0.10848021507263184,-0.08,0.11,-0.12
0.11833810806274414,-0.11,0.14,-0.14
0.12816524505615234,-0.11,0.1,-0.17
0.1385021209716797,-0.1,0.04,-0.21
0.14906716346740723,-0.09,-0.0,-0.23
0.15842914581298828,-0.06,-0.04,-0.24
0.1683940887451172,-0.05,-0.06,-0.24
0.17832422256469727,-0.05,-0.08,-0.23
0.18843817710876465,-0.06,-0.07,-0.21
0.1983051300048828,-0.08,-0.07,-0.2
0.2083730697631836,-0.1,-0.07,-0.19
0.2183670997619629,-0.1,-0.06,-0.19
0.22846603393554688,-0.09,-0.07,-0.18
0.23831605911254883,-0.05,-0.07,-0.17
0.24842309951782227,0.0,-0.07,-0.16
0.25881099700927734,0.05,-0.05,-0.14
0.2684803009033203,0.08,-0.04,-0.13
0.2786121368408203,0.08,-0.01,-0.11
0.28855013847351074,0.07,0.04,-0.09
0.2986922264099121,0.04,0.13,-0.06
0.30855798721313477,0.02,0.21,-0.05
0.3181471824645996,0.02,0.24,-0.05
0.3285841941833496,0.04,0.2,-0.04
0.3385162353515625,0.03,0.11,-0.05
0.3486442565917969,-0.01,-0.05,-0.04
0.3584580421447754,-0.09,-0.13,-0.02
0.368516206741333,-0.2,-0.19,0.0
0.37932825088500977,-0.33,-0.2,0.01
0.38840627670288086,-0.46,-0.14,0.03
0.3985111713409424,-0.55,-0.04,0.02
0.4084620475769043,-0.61,0.01,-0.0
0.41848015785217285,-0.68,-0.05,-0.05
0.42844414710998535,-0.72,-0.2,0.03
0.4386332035064697,-0.76,-0.18,0.09
0.44849610328674316,-0.78,-0.06,0.06
0.458726167678833,-0.89,-0.11,-0.0
0.4686622619628906,-1.03,-0.07,-0.06
0.47930312156677246,-1.18,0.06,-0.11
0.4885129928588867,-1.3,0.15,-0.09
0.498366117477417,-1.37,0.16,-0.02
0.5083270072937012,-1.37,0.2,0.1
0.5184950828552246,-1.32,0.34,0.2
0.5285651683807373,-1.21,0.52,0.25
0.5386500358581543,-1.05,0.73,0.26
0.549105167388916,-0.86,0.94,0.27
0.5591621398925781,-0.67,1.09,0.28
0.5686931610107422,-0.51,1.14,0.29
0.5794973373413086,-0.38,1.09,0.29
0.5885262489318848,-0.29,0.95,0.25
0.5983891487121582,-0.22,0.69,0.2
0.6085662841796875,-0.15,0.35,0.13
0.6185572147369385,-0.09,-0.01,0.06
0.6285972595214844,-0.03,-0.31,-0.03
0.6386690139770508,0.02,-0.53,-0.15
0.6491842269897461,0.07,-0.71,-0.31
0.6584441661834717,0.11,-0.84,-0.47
0.6686952114105225,0.12,-0.9,-0.62
0.6792440414428711,0.13,-0.89,-0.74
0.6891341209411621,0.12,-0.8,-0.83
0.6984400749206543,0.1,-0.66,-0.85
0.7086830139160156,0.07,-0.45,-0.8
0.718602180480957,0.05,-0.23,-0.72
0.7284131050109863,0.05,-0.02,-0.61
0.7386302947998047,0.07,0.17,-0.52
0.7485480308532715,0.11,0.35,-0.44
0.7586522102355957,0.13,0.43,-0.35
0.768733024597168,0.14,0.38,-0.27
0.7785811424255371,0.18,0.35,-0.19
0.7887182235717773,0.28,0.28,-0.16
0.7983660697937012,0.47,0.13,-0.16
0.8085732460021973,0.68,-0.12,-0.18
0.8186101913452148,0.8,-0.51,-0.2
0.8288559913635254,0.74,-1.04,-0.23
0.8385491371154785,0.49,-1.64,-0.28
0.8491840362548828,0.18,-2.18,-0.36
0.858518123626709,0.01,-2.6,-0.51
0.8687500953674316,0.14,-2.8,-0.71
0.8784911632537842,0.55,-2.77,-0.82
0.8889281749725342,1.03,-2.42,-0.72
0.8986401557922363,1.28,-1.57,-0.33
0.9087212085723877,1.28,-0.66,0.25
0.9186320304870605,1.15,-0.4,0.95
0.928497314453125,0.99,-0.84,1.7
0.9386110305786133,0.84,-1.4,2.34
0.9486901760101318,0.62,-1.33,2.64
0.9586043357849121,0.32,-0.7,2.4
0.9687411785125732,0.0,0.11,1.66
0.9784941673278809,-0.19,0.86,0.69
0.9886691570281982,-0.13,1.36,-0.25
0.9986381530761719,0.21,1.57,-1.05
1.0086913108825684,0.62,1.44,-1.64
1.018646240234375,0.85,1.2,-1.97
1.0285601615905762,0.75,0.91,-2.02
1.0385103225708008,0.32,0.66,-1.8
1.0491631031036377,-0.48,0.6,-1.3
1.0584981441497803,-1.54,0.73,-0.62
1.0693812370300293,-2.57,1.36,0.1
1.078773021697998,-3.15,2.2,0.47
