time,wx (rad/s),wy (rad/s),wz (rad/s)
0.003,-0.07,0.07,0.04
0.004,-0.12,0.05,0.04
0.004,-0.16,0.04,0.04
0.004,-0.20,0.02,0.04
0.004,-0.24,0.01,0.05
0.004,-0.27,0.00,0.06
0.007,-0.29,-0.01,0.07
0.010,-0.30,-0.02,0.08
0.012,-0.30,-0.03,0.09
0.014,-0.30,-0.03,0.10
0.017,-0.29,-0.04,0.11
0.019,-0.28,-0.05,0.12
0.022,-0.26,-0.05,0.13
0.024,-0.24,-0.05,0.13
0.028,-0.22,-0.05,0.14
0.029,-0.19,-0.06,0.14
0.031,-0.16,-0.06,0.14
0.035,-0.13,-0.06,0.13
0.037,-0.10,-0.05,0.13
0.039,-0.07,-0.05,0.12
0.043,-0.04,-0.05,0.11
0.044,-0.01,-0.04,0.11
0.048,0.01,-0.03,0.10
0.049,0.03,-0.03,0.09
0.051,0.05,-0.02,0.08
0.054,0.07,-0.01,0.08
0.056,0.08,-0.00,0.08
0.060,0.09,0.00,0.07
0.061,0.10,0.01,0.07
0.063,0.11,0.02,0.07
0.066,0.11,0.03,0.07
0.069,0.11,0.03,0.07
0.071,0.11,0.04,0.07
0.075,0.10,0.04,0.08
0.077,0.10,0.04,0.08
0.079,0.09,0.05,0.09
0.081,0.08,0.05,0.09
0.083,0.08,0.05,0.09
0.086,0.06,0.04,0.10
0.088,0.05,0.04,0.10
0.091,0.03,0.03,0.10
0.094,0.01,0.02,0.09
0.096,-0.01,0.01,0.09
0.098,-0.03,0.01,0.09
0.101,-0.05,-0.01,0.08
0.103,-0.08,-0.02,0.07
0.106,-0.10,-0.03,0.07
0.108,-0.12,-0.04,0.06
0.111,-0.14,-0.06,0.06
0.113,-0.16,-0.06,0.06
0.115,-0.18,-0.07,0.05
0.119,-0.19,-0.08,0.05
0.120,-0.20,-0.09,0.05
0.123,-0.20,-0.09,0.05
0.126,-0.21,-0.09,0.05
0.128,-0.20,-0.09,0.05
0.130,-0.20,-0.09,0.06
0.133,-0.19,-0.09,0.06
0.135,-0.18,-0.08,0.07
0.138,-0.17,-0.08,0.08
0.140,-0.15,-0.08,0.09
0.144,-0.14,-0.07,0.09
0.146,-0.12,-0.06,0.10
0.148,-0.10,-0.06,0.10
0.150,-0.08,-0.05,0.11
0.153,-0.06,-0.04,0.11
0.155,-0.05,-0.03,0.11
0.158,-0.03,-0.03,0.10
0.160,-0.01,-0.02,0.10
0.162,-0.00,-0.01,0.09
0.165,0.01,0.00,0.09
0.167,0.02,0.01,0.08
0.170,0.03,0.02,0.08
0.172,0.04,0.02,0.07
0.175,0.04,0.03,0.07
0.178,0.04,0.03,0.06
0.180,0.05,0.04,0.06
0.184,0.04,0.04,0.06
0.185,0.04,0.04,0.05
0.189,0.03,0.05,0.05
0.190,0.03,0.04,0.05
0.192,0.02,0.04,0.05
0.195,0.01,0.04,0.05
0.197,-0.00,0.04,0.05
0.200,-0.01,0.03,0.05
0.202,-0.03,0.03,0.05
0.204,-0.04,0.02,0.04
