time,ax,ay,az,atotal
0.0042819976806640625,0.16,-0.75,-0.72,1.05
0.011848926544189453,0.33,-0.73,-0.88,1.19
0.022342920303344727,0.18,-0.8,-0.55,0.98
0.04063606262207031,0.64,-0.7,-0.25,0.98
0.0424959659576416,1.4,-0.23,-0.51,1.5
0.052025794982910156,0.85,0.08,-1.05,1.35
0.06227898597717285,0.44,0.46,-1.68,1.79
0.07238912582397461,0.59,0.81,-1.69,1.96
0.08321499824523926,0.98,0.99,-1.23,1.85
0.09265494346618652,1.53,1.02,-1.01,2.09
0.10324597358703613,1.64,0.72,-0.75,1.94
0.11372900009155273,0.79,0.19,0.38,0.89
0.12373900413513184,0.14,-0.11,1.21,1.22
0.1421949863433838,0.15,-0.15,0.62,0.65
0.14417195320129395,0.32,-0.25,0.46,0.61
0.15390300750732422,0.35,-0.27,1.24,1.31
0.1637578010559082,0.07,-0.44,2.35,2.39
0.1730518341064453,0.04,-0.18,1.79,1.79
0.1839308738708496,-0.37,0.08,0.88,0.95
0.19414496421813965,-0.59,-0.34,0.73,0.99
0.20380592346191406,-0.44,-0.89,0.29,1.03
0.21394586563110352,0.19,-0.94,0.41,1.04
0.2236490249633789,0.85,-0.61,0.59,1.2
0.23790788650512695,1.14,-0.18,0.36,1.2
0.24359607696533203,0.98,0.16,0.34,1.04
0.2539710998535156,0.44,0.36,0.62,0.84
0.2640538215637207,-0.39,0.39,0.52,0.75
0.27387285232543945,-0.4,0.35,0.0,0.53
0.2843770980834961,0.27,0.43,-0.11,0.51
0.2942647933959961,0.77,0.72,0.28,1.09
0.3043789863586426,0.99,1.14,0.46,1.57
0.3145937919616699,0.71,1.5,0.49,1.73
0.3245120048522949,0.14,1.67,0.3,1.7
0.34279680252075195,-0.32,1.76,0.26,1.8
0.34481096267700195,-0.57,1.77,0.49,1.92
0.355133056640625,-0.28,1.43,0.08,1.45
0.3651418685913086,0.17,0.86,-1.36,1.61
0.3753199577331543,0.4,0.47,-2.62,2.69
0.38597583770751953,0.26,0.22,-3.2,3.21
0.3954010009765625,-0.11,0.18,-2.86,2.86
0.405642032623291,-0.69,0.64,0.58,1.1
0.4168839454650879,-0.19,0.5,0.56,0.77
0.42569780349731445,0.38,0.63,-2.92,3.01
0.44581079483032227,-0.17,1.21,-4.93,5.07
0.44794607162475586,-0.57,1.71,-4.7,5.03
0.4559779167175293,-0.44,1.98,-4.06,4.53
0.4661741256713867,-0.09,1.13,-3.82,3.98
0.47553491592407227,0.66,-0.73,-4.18,4.29
0.4860401153564453,1.42,-2.62,-4.04,5.02
0.49574804306030273,1.78,-3.56,-3.87,5.55
0.5059161186218262,1.96,-3.5,-4.18,5.79
0.5170221328735352,2.57,-2.83,-4.66,6.02
0.5261249542236328,3.28,-2.25,-4.97,6.36
0.544543981552124,3.57,-1.85,-4.9,6.33
0.5465009212493896,3.45,-1.9,-4.99,6.35
0.5568637847900391,3.17,-2.0,-5.29,6.48
0.5672199726104736,3.39,-2.1,-5.7,6.95
0.5762619972229004,4.0,-2.27,-6.02,7.57
0.5867218971252441,4.24,-2.31,-6.03,7.72
0.5970699787139893,2.94,-2.79,-5.56,6.88
0.6068978309631348,-2.46,-4.6,-0.85,5.28
0.6176548004150391,-6.57,-5.44,2.27,8.82
0.6269807815551758,-4.07,-3.44,-2.69,5.96
0.64540696144104,0.17,-1.8,-5.67,5.95
0.6470580101013184,0.89,-2.02,-4.28,4.81
0.6575899124145508,0.89,-2.44,-2.96,3.93
0.6677670478820801,-0.18,-2.77,-2.12,3.49
0.6772818565368652,-3.09,-2.77,-0.81,4.22
0.6874089241027832,-4.78,-2.76,0.22,5.52
0.6979990005493164,-4.59,-3.5,1.67,6.0
0.7076449394226074,-5.58,-3.11,4.03,7.55
0.7186629772186279,-4.99,-0.9,6.47,8.22
0.7278318405151367,-3.46,0.99,8.36,9.1
0.7476739883422852,-1.76,2.68,10.53,11.0
0.7499380111694336,0.43,4.77,11.95,12.87
0.7581291198730469,2.1,7.94,12.75,15.16
0.768700122833252,4.5,11.23,14.43,18.83
0.7784428596496582,5.83,14.63,16.34,22.69
0.7885398864746094,6.33,18.01,18.38,26.5
0.7991738319396973,7.2,20.2,20.54,29.69
0.8088529109954834,7.54,20.85,22.22,31.38
0.8192789554595947,7.72,20.93,23.52,32.41
0.8292078971862793,8.19,21.32,24.27,33.32
0.8451910018920898,8.73,22.01,24.73,34.23
0.8489429950714111,10.0,21.88,25.69,35.19
0.8594150543212891,11.22,20.3,26.04,34.87
0.8695120811462402,11.09,18.92,26.0,34.01
0.8792119026184082,11.28,16.56,25.88,32.72
0.8890480995178223,10.4,13.83,25.0,30.4
0.9000339508056641,8.52,11.46,23.43,27.43
0.909423828125,6.95,9.05,19.87,22.91
0.9195818901062012,4.42,6.81,15.31,17.32
0.930142879486084,2.42,4.22,10.4,11.48
0.945775032043457,0.18,1.91,6.46,6.73
0.9495258331298828,-1.52,-0.52,3.97,4.28
0.9600248336791992,-1.39,-2.74,1.42,3.38
0.9701418876647949,-0.39,-5.03,-0.57,5.07
0.9798769950866699,0.27,-8.95,-2.02,9.17
0.9899280071258545,1.86,-14.99,-4.55,15.77
1.0008909702301025,3.0,-21.42,-7.23,22.8
1.0103778839111328,1.26,-25.12,-5.48,25.74
1.0204720497131348,0.78,-27.72,-3.74,27.98
1.0307819843292236,0.69,-29.68,-4.0,29.95
1.048487901687622,1.58,-28.1,-4.61,28.51
1.0507009029388428,4.26,-26.58,-5.72,27.52
1.0604579448699951,5.13,-24.62,-5.61,25.76
1.0706799030303955,5.46,-21.16,-4.92,22.4
1.08113694190979,5.29,-18.69,-4.3,19.89
1.0906319618225098,4.91,-16.74,-3.66,17.82
1.1018099784851074,4.95,-14.92,-2.96,15.99
1.1110448837280273,4.77,-13.62,-2.3,14.61
1.121872901916504,3.99,-12.36,-1.28,13.05
1.1319139003753662,3.15,-10.9,-0.62,11.36
1.1496191024780273,2.44,-9.37,-0.28,9.68
1.1517689228057861,2.17,-8.56,-0.07,8.83
1.1613609790802002,1.91,-8.14,0.45,8.37
1.1713809967041016,1.52,-7.52,0.54,7.69
1.1820058822631836,1.79,-6.99,0.19,7.21
1.1914589405059814,2.31,-6.33,-0.35,6.74
1.202423095703125,2.67,-6.12,-0.63,6.7
1.2117769718170166,2.96,-6.26,-0.89,6.98
1.2223620414733887,2.9,-6.73,-1.1,7.41
1.233224868774414,2.39,-6.86,-0.81,7.3
1.2509040832519531,1.97,-7.01,-0.64,7.3
1.252497911453247,1.81,-7.35,-0.64,7.59
1.2620630264282227,1.84,-7.74,-0.69,7.98
1.272294044494629,2.06,-8.01,-0.85,8.31
1.2832539081573486,2.32,-8.25,-1.22,8.65
1.2922840118408203,2.54,-8.43,-1.35,8.9
1.3030428886413574,2.83,-8.67,-1.49,9.24
1.312654972076416,2.92,-8.92,-1.67,9.53
1.3231749534606934,2.88,-9.16,-1.48,9.71
1.3340458869934082,2.73,-9.53,-1.42,10.01
1.3529858589172363,2.78,-9.92,-1.43,10.4
1.354625940322876,2.59,-10.34,-1.28,10.73
1.363156795501709,2.47,-10.82,-1.41,11.18
1.372931957244873,2.46,-11.04,-1.67,11.43
1.383617877960205,2.51,-11.05,-1.7,11.45
1.3930888175964355,2.66,-11.13,-1.93,11.6
1.4033699035644531,2.84,-10.96,-2.25,11.54
1.4138519763946533,2.82,-10.43,-2.27,11.04
1.4236230850219727,2.91,-9.8,-2.15,10.44
1.4343109130859375,2.86,-9.21,-2.08,9.86
1.4514729976654053,2.7,-8.37,-1.61,8.94
1.45375394821167,2.55,-7.56,-1.21,8.06
1.4641079902648926,2.61,-6.2,-0.45,6.74
1.4740419387817383,3.37,-3.83,0.11,5.1
1.4843239784240723,2.84,-0.43,0.15,2.87
1.4941048622131348,0.81,4.13,0.58,4.24
1.504127025604248,0.61,6.78,0.92,6.86
1.5148890018463135,0.76,8.02,2.4,8.4
1.524420976638794,-0.48,9.31,3.62,10.0
1.5351910591125488,-1.98,10.06,0.76,10.28
1.5531368255615234,-3.03,10.55,-1.2,11.04
1.5544769763946533,-5.34,13.85,-1.14,14.88
1.565363883972168,-5.86,16.0,-2.42,17.21
1.5751569271087646,-5.05,16.06,-2.31,16.99
1.5854787826538086,-5.06,16.85,-0.63,17.6
1.5950849056243896,-4.23,17.34,0.21,17.84
1.6055419445037842,-2.69,17.17,-0.09,17.37
1.6168220043182373,-1.05,17.74,-0.82,17.78
1.625788927078247,1.49,17.16,-0.45,17.23
1.636192798614502,2.89,16.19,1.87,16.55
1.6518750190734863,3.03,15.68,5.0,16.73
1.6554579734802246,2.9,13.89,7.27,15.94
1.666395902633667,2.48,12.25,8.36,15.03
1.6754059791564941,2.0,10.03,8.73,13.44
1.6858270168304443,1.77,7.67,8.27,11.41
1.6956710815429688,1.6,6.55,9.05,11.28
1.7060949802398682,1.71,5.77,10.27,11.9
1.7168619632720947,2.47,4.81,9.97,11.34
1.7263100147247314,3.12,4.38,9.41,10.83
1.7368919849395752,3.05,3.89,9.16,10.4
1.7555689811706543,2.81,3.36,8.58,9.63
1.7575159072875977,2.19,3.06,7.84,8.69
1.766481876373291,1.58,2.59,6.72,7.37
1.7763090133666992,0.87,2.03,5.29,5.73
1.786520004272461,0.01,1.45,3.95,4.2
1.796684980392456,-0.84,1.02,2.73,3.03
1.807096004486084,-1.46,0.79,1.59,2.29
1.8175630569458008,-2.05,0.66,0.47,2.2
1.826848030090332,-2.4,0.53,-0.41,2.49
1.8377540111541748,-2.44,0.39,-1.04,2.68
1.8564529418945312,-2.34,0.19,-1.45,2.75
1.8580288887023926,-2.08,0.02,-1.65,2.65
1.8678829669952393,-1.77,-0.24,-1.69,2.45
1.8771557807922363,-1.44,-0.67,-1.49,2.17
1.8875110149383545,-0.96,-1.1,-1.39,2.01
1.8974599838256836,-0.57,-1.47,-1.13,1.93
1.9075829982757568,-0.23,-1.98,-0.5,2.05
1.9183788299560547,0.06,-2.59,-0.08,2.59
1.9282870292663574,0.28,-3.01,0.07,3.02
1.937959909439087,0.28,-3.33,0.42,3.36
1.957509994506836,0.37,-3.65,0.52,3.7
1.9591808319091797,0.52,-3.86,0.51,3.92
1.968639850616455,0.66,-3.92,0.48,4.0
1.978050947189331,0.78,-3.84,0.26,3.92
1.9881658554077148,0.92,-3.8,-0.12,3.91
1.9988970756530762,0.95,-3.73,-0.43,3.87
2.0082850456237793,0.91,-3.66,-0.66,3.82
2.0191378593444824,1.01,-3.63,-0.95,3.88
2.028548002243042,1.26,-3.61,-1.14,3.98
2.0387420654296875,1.34,-3.54,-1.17,3.96
2.0569729804992676,1.64,-3.55,-1.0,4.03
2.0587258338928223,1.85,-3.6,-0.93,4.15
2.0688610076904297,1.81,-3.49,-1.1,4.08
2.078784942626953,1.74,-3.05,-1.05,3.66
2.0889790058135986,1.56,-2.53,-0.88,3.09
2.099674940109253,1.49,-2.14,-0.65,2.68
2.1091151237487793,1.62,-1.74,-0.52,2.43
2.1197328567504883,1.72,-1.34,-0.58,2.25
2.1298649311065674,1.77,-1.02,-0.86,2.21
2.1395130157470703,1.87,-0.79,-1.1,2.3
2.157777786254883,1.79,-0.49,-1.18,2.19
2.159597873687744,1.63,-0.11,-1.21,2.03
2.1701998710632324,1.44,0.14,-1.19,1.87
2.179682970046997,1.23,0.26,-1.13,1.69
2.1896519660949707,1.04,0.28,-1.13,1.56
2.200340986251831,0.95,0.16,-0.96,1.36
2.2100658416748047,0.89,0.09,-0.85,1.23
2.220271110534668,0.87,0.24,-0.8,1.2
2.230587959289551,0.78,0.35,-0.76,1.14
2.240687847137451,0.69,0.48,-0.71,1.1
2.2599480152130127,0.53,0.76,-0.68,1.14
2.2616019248962402,0.42,0.93,-0.61,1.18
2.2706408500671387,0.22,1.05,-0.48,1.17
2.2806849479675293,0.11,1.23,-0.35,1.28
2.290645122528076,0.13,1.4,-0.26,1.42
2.3013978004455566,0.19,1.49,-0.2,1.51
2.3108458518981934,0.32,1.45,-0.06,1.48
2.3210339546203613,0.35,1.35,0.13,1.4
2.3315138816833496,0.36,1.24,0.17,1.3
2.341296911239624,0.39,1.14,0.12,1.21
2.3600878715515137,0.42,1.01,0.12,1.1
2.362043857574463,0.45,0.84,0.09,0.95
2.371951103210449,0.39,0.78,-0.02,0.87
2.3818631172180176,0.24,0.8,-0.04,0.83
2.391284942626953,0.1,0.82,-0.05,0.82
2.4018068313598633,0.03,0.84,-0.01,0.84
2.411323070526123,0.03,0.85,0.01,0.85
2.4216909408569336,0.07,0.85,0.02,0.85
2.4327709674835205,0.11,0.8,0.06,0.8
2.441946029663086,0.12,0.67,0.04,0.68
2.46134090423584,0.08,0.54,0.08,0.55
2.4632909297943115,0.04,0.41,0.1,0.42
2.471946954727173,0.01,0.31,0.09,0.32
2.4828109741210938,-0.07,0.22,0.1,0.25
2.4920759201049805,-0.16,0.21,0.11,0.28
2.502577781677246,-0.25,0.26,0.1,0.37
2.512350082397461,-0.36,0.33,0.06,0.49
2.5226941108703613,-0.5,0.49,0.09,0.7
2.533432960510254,-0.62,0.61,0.04,0.87
2.5428690910339355,-0.64,0.67,-0.04,0.92
2.560938835144043,-0.64,0.69,-0.05,0.94
2.5628609657287598,-0.62,0.67,-0.06,0.91
2.572847843170166,-0.57,0.6,-0.07,0.83
2.58333683013916,-0.48,0.51,-0.01,0.7
2.593017101287842,-0.37,0.43,0.01,0.56
2.6032118797302246,-0.22,0.39,0.02,0.44
2.613752841949463,-0.09,0.4,0.03,0.41
2.6235039234161377,0.17,0.39,0.16,0.45
2.6345558166503906,0.34,0.27,0.24,0.49
2.6438229084014893,0.4,0.16,0.25,0.49
2.6639459133148193,0.41,0.09,0.27,0.49
2.665867805480957,0.38,0.06,0.26,0.46
2.6740949153900146,0.32,0.05,0.21,0.38
2.6844189167022705,0.19,0.1,0.11,0.24
2.6938729286193848,0.12,0.16,0.08,0.21
2.703878879547119,0.1,0.16,0.0,0.18
2.7151718139648438,0.04,0.13,-0.06,0.14
2.72408390045166,0.04,-0.01,-0.12,0.12
2.7353968620300293,0.06,-0.18,-0.2,0.27
2.7447409629821777,0.0,-0.32,-0.18,0.36
2.765429973602295,-0.18,-0.37,-0.19,0.45
2.7669179439544678,-0.33,-0.31,-0.14,0.47
2.774567127227783,-0.43,-0.29,-0.06,0.52
