time,ax,ay,az,atotal
0.09591984748840332,0.03,0.1,-0.05,0.11
0.10172390937805176,0.0,0.09,-0.23,0.24
0.10996699333190918,0.01,0.15,-0.27,0.3
0.11378312110900879,-0.06,0.18,-0.23,0.29
0.12092709541320801,-0.11,0.23,-0.12,0.28
0.12448406219482422,-0.1,0.26,0.01,0.27
0.13326001167297363,-0.09,0.24,0.1,0.27
0.142380952835083,-0.06,0.21,0.19,0.28
0.14640593528747559,-0.05,0.17,0.2,0.26
0.154188871383667,-0.05,0.11,0.21,0.24
0.17306017875671387,-0.06,0.09,0.2,0.22
0.17625117301940918,-0.04,0.09,0.19,0.21
0.18295502662658691,0.01,0.08,0.17,0.18
0.19086098670959473,0.07,0.05,0.17,0.19
0.19483113288879395,0.09,0.02,0.13,0.15
0.20116496086120605,0.08,-0.02,0.04,0.09
0.21121597290039062,0.07,-0.02,-0.01,0.07
0.2149498462677002,0.06,-0.04,-0.03,0.07
0.22112488746643066,0.08,-0.07,-0.01,0.1
0.22681403160095215,0.14,-0.05,0.05,0.15
0.24437499046325684,0.2,-0.09,0.08,0.23
0.2502858638763428,0.2,-0.14,0.04,0.24
0.25475502014160156,0.21,-0.17,-0.03,0.27
0.26115918159484863,0.22,-0.14,-0.03,0.26
0.2653629779815674,0.23,-0.1,0.01,0.25
0.2737281322479248,0.2,-0.07,0.09,0.23
0.28210997581481934,0.14,-0.04,0.19,0.23
0.28630614280700684,0.07,0.0,0.23,0.24
0.2933509349822998,0.03,0.04,0.21,0.21
0.3015320301055908,0.01,0.06,0.13,0.14
0.32004714012145996,0.0,0.09,0.07,0.11
0.32364797592163086,0.04,0.11,0.01,0.11
0.32991719245910645,0.08,0.09,-0.03,0.12
0.3338768482208252,0.09,0.12,-0.02,0.15
0.3409888744354248,0.06,0.15,0.05,0.16
0.34421205520629883,-0.01,0.17,0.14,0.22
0.35426807403564453,-0.08,0.17,0.23,0.29
0.36104798316955566,-0.12,0.15,0.24,0.3
0.36469388008117676,-0.13,0.13,0.19,0.26
0.37218689918518066,-0.11,0.12,0.15,0.22
0.39072704315185547,-0.08,0.11,0.11,0.17
0.3943440914154053,-0.04,0.12,0.09,0.15
0.400738000869751,-0.03,0.1,0.1,0.14
0.4060640335083008,-0.06,0.07,0.12,0.15
0.4128379821777344,-0.14,0.08,0.1,0.18
0.41654300689697266,-0.17,0.12,0.08,0.22
0.4299030303955078,-0.19,0.13,0.05,0.23
0.4339010715484619,-0.2,0.14,0.03,0.24
0.44087910652160645,-0.21,0.15,0.0,0.25
0.4452178478240967,-0.25,0.17,0.0,0.3
0.4642951488494873,-0.27,0.18,0.0,0.32
0.4702770709991455,-0.26,0.16,0.02,0.3
0.4754979610443115,-0.21,0.15,0.07,0.26
0.4814331531524658,-0.11,0.14,0.15,0.23
0.4939701557159424,-0.03,0.13,0.16,0.2
0.4999091625213623,0.02,0.11,0.1,0.15
0.5095951557159424,0.08,0.13,0.04,0.15
0.5133130550384521,0.1,0.13,-0.03,0.16
0.5197689533233643,0.15,0.11,-0.06,0.19
0.5244271755218506,0.19,0.08,-0.1,0.22
0.5417850017547607,0.23,0.01,-0.12,0.25
0.5453760623931885,0.28,-0.05,-0.12,0.3
0.5515768527984619,0.32,-0.12,-0.1,0.35
0.5563020706176758,0.34,-0.19,-0.08,0.39
0.5626630783081055,0.34,-0.23,-0.05,0.41
0.5659439563751221,0.33,-0.24,-0.01,0.4
0.5805580615997314,0.32,-0.25,0.08,0.41
0.5846331119537354,0.33,-0.24,0.19,0.45
0.591332197189331,0.3,-0.23,0.26,0.45
0.5955350399017334,0.24,-0.23,0.29,0.44
0.6120610237121582,0.13,-0.27,0.52,0.6
0.6156730651855469,0.11,-0.32,0.88,0.94
0.6229090690612793,0.14,-0.21,0.71,0.75
0.6289680004119873,0.2,-0.16,0.43,0.5
0.6336760520935059,0.24,-0.17,0.19,0.35
0.6400411128997803,0.24,-0.14,0.08,0.28
0.6463379859924316,0.22,-0.12,0.13,0.28
0.6531829833984375,0.21,-0.12,0.25,0.34
0.6600658893585205,0.23,-0.13,0.31,0.4
0.6643569469451904,0.23,-0.12,0.24,0.35
0.6856791973114014,0.19,-0.13,0.14,0.26
0.6915099620819092,0.16,-0.12,0.02,0.2
0.6960389614105225,0.13,-0.08,-0.05,0.16
0.7034561634063721,0.1,-0.02,-0.04,0.1
0.7105059623718262,0.08,0.05,0.05,0.1
0.7130000591278076,0.06,0.07,0.21,0.22
0.7313358783721924,0.06,-0.01,0.35,0.35
0.7352368831634521,0.16,-0.08,0.42,0.45
0.7426931858062744,0.25,-0.17,0.46,0.55
0.7492690086364746,0.26,-0.25,0.44,0.56
0.7659780979156494,0.17,-0.31,0.16,0.38
0.771852970123291,0.24,-0.21,-0.03,0.32
0.7783069610595703,0.14,-0.13,-0.01,0.19
0.7824270725250244,0.06,-0.07,-0.01,0.09
0.7862331867218018,0.04,-0.02,-0.02,0.04
0.7928919792175293,0.0,0.01,0.0,0.01
0.8035500049591064,-0.02,0.04,0.01,0.04
0.8105318546295166,0.02,0.06,-0.02,0.06
0.8142690658569336,0.06,0.06,-0.01,0.08
0.8230769634246826,0.09,0.05,0.07,0.12
0.8420631885528564,0.12,0.04,0.15,0.19
0.8451359272003174,0.13,0.04,0.15,0.2
0.8515841960906982,0.12,0.08,0.02,0.14
0.8587629795074463,0.16,0.09,-0.11,0.21
0.8628439903259277,0.16,0.06,-0.25,0.3
0.8658010959625244,0.21,-0.03,-0.45,0.49
0.8789730072021484,0.23,-0.07,-0.45,0.51
0.882958173751831,0.15,-0.04,-0.21,0.26
0.8906981945037842,0.12,-0.01,0.02,0.12
0.8955099582672119,0.1,0.0,0.14,0.17
0.9139750003814697,0.08,0.0,0.2,0.21
0.9199039936065674,0.13,-0.06,0.96,0.97
0.9249889850616455,-0.07,-0.15,1.4,1.4
0.9308950901031494,-0.17,0.1,0.43,0.47
0.9445321559906006,0.06,0.17,0.48,0.51
0.9505341053009033,-0.15,0.13,0.05,0.2
0.9608850479125977,-0.15,0.17,-0.23,0.32
0.9646961688995361,-0.07,0.21,-0.36,0.42
0.9726660251617432,-0.04,0.2,-0.3,0.36
0.9801740646362305,-0.07,0.16,-0.11,0.2
0.9950790405273438,-0.09,0.14,0.03,0.16
1.0011940002441406,-0.06,0.13,0.1,0.17
1.0060760974884033,-0.07,0.12,0.1,0.17
1.011626958847046,-0.08,0.13,0.02,0.15
1.0156450271606445,-0.1,0.15,-0.02,0.18
1.021501064300537,-0.11,0.17,-0.02,0.2
1.031013011932373,-0.09,0.1,-0.01,0.13
1.0349318981170654,-0.02,0.04,0.03,0.05
1.0420610904693604,0.02,-0.02,0.11,0.11
1.048854112625122,0.04,-0.07,0.12,0.14
1.0692498683929443,0.05,-0.08,0.08,0.12
1.0725970268249512,0.05,-0.04,0.04,0.07
1.0788419246673584,0.03,-0.01,0.04,0.05
1.0824811458587646,-0.02,0.02,0.08,0.08
1.0895390510559082,-0.04,0.06,0.17,0.18
1.0928308963775635,-0.08,0.14,0.27,0.31
1.1031548976898193,-0.14,0.15,0.34,0.39
1.1103699207305908,-0.05,0.12,0.27,0.29
1.1141600608825684,-0.06,0.1,0.22,0.24
1.1233019828796387,-0.08,0.1,0.2,0.23
1.1422100067138672,-0.05,0.11,0.13,0.17
1.145272970199585,-0.1,0.08,0.11,0.16
1.1520531177520752,-0.02,0.07,0.16,0.17
1.1600091457366943,0.01,0.01,0.12,0.12
1.1643311977386475,0.04,-0.04,0.1,0.11
1.1712539196014404,0.08,-0.04,0.07,0.11
1.180556058883667,0.07,-0.04,0.06,0.1
1.1843469142913818,0.03,0.0,0.02,0.03
1.1920568943023682,0.03,-0.01,-0.03,0.04
1.1985230445861816,0.03,-0.05,0.0,0.05
1.2133510112762451,0.04,-0.07,0.05,0.09
1.219290018081665,0.05,-0.06,0.06,0.09
1.2237999439239502,0.04,-0.03,0.07,0.08
1.2296621799468994,0.01,0.03,0.09,0.09
1.233672857284546,-0.02,0.08,0.1,0.12
1.2402310371398926,-0.02,0.08,0.08,0.11
1.2488970756530762,-0.02,0.05,0.04,0.06
1.2532360553741455,-0.01,0.05,0.02,0.05
1.2598509788513184,0.04,0.03,0.04,0.06
1.2646360397338867,0.07,0.02,0.08,0.1
1.2890589237213135,0.06,0.05,0.13,0.15
1.2920680046081543,-0.01,0.04,0.12,0.12
1.298976182937622,0.0,0.05,0.06,0.07
1.3030641078948975,0.05,0.02,0.03,0.06
1.3098070621490479,-0.03,-0.01,0.07,0.07
1.3127610683441162,-0.07,0.0,0.09,0.11
1.3320050239562988,-0.05,0.06,-0.02,0.08
1.3383691310882568,-0.07,0.11,-0.14,0.19
1.3423378467559814,-0.07,0.1,-0.19,0.22
1.3484880924224854,-0.06,0.06,-0.17,0.19
1.3690168857574463,-0.02,0.03,-0.11,0.11
1.3723840713500977,-0.02,0.1,-0.03,0.1
1.3788301944732666,-0.02,0.09,0.06,0.11
1.382385015487671,-0.07,0.05,0.16,0.18
1.389836072921753,-0.16,0.1,0.27,0.32
1.3933770656585693,-0.21,0.17,0.32,0.41
1.403536081314087,-0.26,0.2,0.21,0.38
1.4106190204620361,-0.27,0.2,0.11,0.35
1.4141461849212646,-0.26,0.21,0.13,0.35
1.4213879108428955,-0.27,0.18,0.15,0.35
1.4392189979553223,-0.27,0.16,0.14,0.34
1.441882848739624,-0.14,0.1,0.04,0.17
1.4486439228057861,0.13,-0.11,-0.18,0.24
1.4526410102844238,0.29,-0.22,-0.36,0.51
1.459367036819458,0.33,-0.19,-0.41,0.55
1.4621341228485107,0.28,-0.15,-0.27,0.41
1.4804120063781738,0.16,-0.16,0.0,0.22
1.4844989776611328,0.12,-0.14,0.33,0.37
1.4913990497589111,0.1,-0.12,0.44,0.46
1.4985079765319824,0.12,-0.1,0.34,0.37
1.5137410163879395,0.15,-0.07,0.19,0.25
1.519766092300415,0.12,-0.04,-0.04,0.13
1.5244290828704834,0.05,0.06,-0.18,0.19
1.530367136001587,0.03,0.13,-0.14,0.19
1.5342261791229248,0.04,0.1,0.02,0.1
1.5411741733551025,0.08,0.03,0.23,0.24
1.5501668453216553,0.19,-0.04,0.3,0.35
1.5552289485931396,0.23,-0.05,0.22,0.32
1.5614831447601318,0.18,0.0,0.18,0.25
1.5688369274139404,0.12,0.0,0.31,0.33
1.5842530727386475,0.09,-0.02,0.41,0.42
1.5900299549102783,0.02,0.02,0.42,0.42
1.5947239398956299,-0.05,0.09,0.34,0.35
1.602320909500122,-0.04,0.11,0.32,0.34
1.6094410419464111,0.01,0.08,0.29,0.3
1.6122138500213623,0.03,0.05,0.28,0.28
1.6220219135284424,-0.02,0.04,0.28,0.28
1.6287059783935547,-0.21,0.15,0.18,0.31
1.632436990737915,-0.04,0.09,0.13,0.16
1.63993501663208,0.03,-0.03,0.06,0.07
1.6555068492889404,0.07,-0.12,-0.08,0.16
1.660964012145996,0.17,-0.14,-0.39,0.44
1.6652119159698486,0.04,-0.04,-0.18,0.18
1.673145055770874,-0.09,-0.04,0.02,0.1
1.6800260543823242,-0.11,-0.05,0.04,0.12
1.6833598613739014,-0.05,-0.05,-0.03,0.07
1.6934170722961426,-0.01,-0.03,-0.13,0.13
1.7002520561218262,0.02,0.0,-0.16,0.16
1.70784592628479,0.02,0.0,-0.14,0.14
1.7120349407196045,0.02,-0.01,-0.12,0.12
1.7297110557556152,0.0,0.03,-0.07,0.07
1.7334480285644531,-0.06,0.09,-0.02,0.1
1.7406129837036133,-0.17,0.16,0.0,0.23
1.7442820072174072,-0.26,0.24,0.02,0.35
1.7517411708831787,-0.33,0.31,0.07,0.45
1.7554271221160889,-0.34,0.33,0.13,0.49
1.7638041973114014,-0.32,0.3,0.17,0.47
1.7717890739440918,-0.27,0.25,0.23,0.43
1.7782809734344482,-0.21,0.23,0.16,0.35
1.782707929611206,-0.18,0.2,0.01,0.26
1.8053760528564453,-0.13,0.14,-0.1,0.21
1.8108799457550049,-0.07,0.1,-0.13,0.17
1.8151960372924805,-0.05,0.11,-0.15,0.19
1.8228280544281006,-0.05,0.12,-0.11,0.17
1.828827142715454,-0.06,0.16,-0.13,0.21
1.8315341472625732,-0.05,0.16,-0.17,0.23
1.8486931324005127,-0.01,0.11,-0.18,0.21
1.853003978729248,0.02,0.13,-0.19,0.23
1.8601601123809814,0.0,0.12,-0.2,0.23
1.8646981716156006,-0.09,0.2,-0.4,0.45
1.8890340328216553,0.09,0.19,-0.29,0.35
1.892090082168579,-0.08,-0.03,0.02,0.08
1.8987550735473633,-0.03,-0.17,0.15,0.22
1.9029829502105713,0.03,-0.14,0.27,0.3
1.909635066986084,0.02,-0.14,0.24,0.27
1.9121980667114258,0.07,-0.11,0.09,0.15
1.9308950901031494,0.08,-0.1,0.06,0.14
1.935046911239624,0.04,-0.05,0.13,0.14
1.942188024520874,0.06,-0.06,0.2,0.21
1.9494099617004395,0.06,0.0,0.27,0.27
1.9653661251068115,0.04,0.0,0.33,0.33
1.9710350036621094,-0.01,0.0,0.37,0.37
1.9790451526641846,-0.01,0.05,0.34,0.34
1.9821221828460693,0.02,0.07,0.25,0.26
1.9945151805877686,0.1,0.11,0.17,0.22
2.0006160736083984,0.11,0.09,0.14,0.19
2.0113770961761475,0.09,0.07,0.19,0.22
2.0152509212493896,0.09,0.09,0.3,0.32
2.0221221446990967,0.1,0.07,0.33,0.35
2.0295450687408447,0.13,0.04,0.29,0.32
2.0450170040130615,0.13,0.03,0.22,0.25
2.0506820678710938,0.14,0.04,0.16,0.21
2.0558021068573,0.13,0.05,0.08,0.16
2.062474012374878,0.13,0.02,0.09,0.15
2.068969964981079,0.11,-0.01,0.14,0.17
2.0726511478424072,0.11,-0.02,0.13,0.17
2.0805370807647705,0.11,-0.02,0.09,0.14
