time,ax,ay,az,atotal
0.0009219646453857422,-0.23,0.12,0.4,0.47
0.00806283950805664,-0.32,0.11,0.64,0.72
0.018420934677124023,-0.07,0.04,0.53,0.53
0.03024005889892578,0.16,-0.02,0.31,0.34
0.039443016052246094,0.28,-0.07,0.23,0.36
0.059517860412597656,0.0,0.14,0.2,0.24
0.061514854431152344,-0.28,0.12,0.14,0.33
0.0693049430847168,-0.01,0.06,0.06,0.08
0.07857179641723633,0.01,0.21,-0.17,0.27
0.08812999725341797,0.03,0.22,-0.36,0.42
0.09978675842285156,-0.03,0.3,-0.45,0.54
0.10799288749694824,-0.14,0.38,-0.45,0.6
0.11814093589782715,-0.03,0.36,-0.43,0.56
0.12948298454284668,0.0,0.34,-0.43,0.54
0.13921308517456055,-0.11,0.4,-0.41,0.58
0.15911197662353516,-0.36,0.51,-0.3,0.69
0.16017699241638184,-0.31,0.48,-0.31,0.65
0.1692028045654297,-0.26,0.39,-0.49,0.67
0.17878484725952148,-0.25,0.45,-0.6,0.79
0.18794894218444824,-0.31,0.44,-0.61,0.81
0.1997089385986328,-0.3,0.44,-0.56,0.77
0.20811891555786133,-0.27,0.48,-0.53,0.76
0.21825504302978516,-0.22,0.51,-0.56,0.78
0.2298269271850586,-0.18,0.51,-0.55,0.77
0.23944592475891113,-0.23,0.51,-0.51,0.75
0.25936293601989746,-0.27,0.52,-0.41,0.71
0.2604999542236328,-0.22,0.47,-0.27,0.58
0.2693948745727539,-0.13,0.41,-0.18,0.46
0.27861690521240234,-0.03,0.33,-0.2,0.38
0.28812193870544434,0.04,0.29,-0.26,0.39
0.2998180389404297,0.09,0.3,-0.35,0.46
0.308290958404541,0.03,0.33,-0.46,0.56
0.3182840347290039,-0.02,0.37,-0.53,0.64
0.3298478126525879,-0.02,0.33,-0.53,0.62
0.3395259380340576,-0.01,0.32,-0.43,0.53
0.35996389389038086,0.01,0.31,-0.27,0.41
0.3611297607421875,0.02,0.33,-0.2,0.38
0.36945486068725586,-0.04,0.38,-0.35,0.51
0.37862586975097656,-0.15,0.39,-0.56,0.69
0.3882298469543457,-0.25,0.44,-0.77,0.92
0.40031003952026367,-0.21,0.46,-0.87,1.0
0.40848207473754883,-0.04,0.44,-0.91,1.01
