time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004000,0.1668,0.2041,-0.2523,0.365
0.004000,0.2180,0.2298,-0.0011,0.317
0.005000,0.2193,0.2200,0.2210,0.381
0.006000,0.1993,0.1765,0.4860,0.554
0.011000,0.1215,0.0605,0.6553,0.669
0.017000,0.0383,0.0247,0.6026,0.604
0.021000,0.0027,-0.0312,0.4643,0.465
0.028000,0.0457,-0.0230,0.2475,0.253
0.031000,0.1195,0.0308,-0.0001,0.123
0.037000,0.1717,0.1045,-0.2239,0.301
0.042000,0.1504,0.1818,-0.4288,0.489
0.047000,-0.0253,0.2224,-0.4810,0.531
0.052000,-0.2002,0.1068,-0.4430,0.498
0.056000,-0.2003,0.1194,-0.4128,0.474
0.061000,-1.1850,0.2121,-0.9160,1.513
0.066000,-2.4186,0.5458,-1.5676,2.933
0.070000,-1.4273,0.9301,-1.1374,2.048
0.077000,-0.6197,1.0912,-0.7879,1.482
0.081000,-0.1206,0.8614,-0.5137,1.010
0.086000,0.1250,0.4415,-0.3093,0.553
0.092000,0.1923,0.0846,-0.1864,0.281
0.096000,0.1454,-0.0925,-0.0995,0.199
0.100000,0.1058,-0.1696,-0.0004,0.200
0.106000,0.1451,-0.2045,0.0751,0.262
0.110000,0.1658,-0.1759,0.1653,0.293
0.117000,0.1398,-0.1246,0.2370,0.302
0.120000,0.0553,-0.0462,0.2783,0.288
0.128000,-0.0259,0.0017,0.2941,0.295
0.130000,-0.0870,-0.0313,0.3347,0.347
0.135000,-0.1331,-0.0922,0.3282,0.366
0.140000,-0.1575,-0.0925,0.2866,0.340
0.145000,-0.1724,-0.0367,0.2862,0.336
0.150000,-0.1590,0.0155,0.2384,0.287
0.155000,-0.1604,0.0595,0.1766,0.246
0.160000,-0.1814,0.1269,0.0863,0.238
0.167000,-0.2482,0.1892,-0.0348,0.314
0.169000,-0.3059,0.2111,-0.0724,0.379
0.175000,-0.3906,0.2405,-0.1197,0.474
0.179000,-0.4258,0.2418,-0.1291,0.506
0.184000,-0.4282,0.2413,-0.0982,0.501
0.189000,-0.3601,0.2417,-0.0511,0.437
0.194000,-0.2479,0.2186,-0.0020,0.331
0.199000,-0.1249,0.1792,0.0324,0.221
0.204000,-0.0025,0.1305,0.0379,0.136
0.210000,0.0980,0.0436,0.0673,0.127
0.214000,0.2178,-0.0480,0.0728,0.235
0.219000,0.2998,-0.1398,0.1048,0.347
0.227000,0.4062,-0.1577,0.1274,0.454
0.229000,0.4725,-0.1760,0.1885,0.538
0.234000,0.4892,-0.1709,0.2188,0.563
0.239000,0.4633,-0.1354,0.2398,0.539
0.245000,0.4043,-0.1220,0.2562,0.494
0.250000,0.3120,-0.0784,0.2563,0.411
0.255000,0.2031,-0.0118,0.2232,0.302
0.260000,0.1277,0.0707,0.1547,0.213
0.263000,0.0877,0.1430,0.0863,0.189
0.268000,0.0568,0.1982,-0.0081,0.206
0.274000,0.0397,0.1767,-0.0762,0.196
0.278000,0.0316,0.1865,-0.1323,0.231
0.283000,0.0250,0.1942,-0.1934,0.275
0.288000,0.0561,0.1927,-0.2451,0.317
0.293000,0.1225,0.1799,-0.2851,0.359
0.298000,0.2193,0.1556,-0.3397,0.433
0.306000,0.3137,0.1463,-0.4159,0.541
0.311000,0.3631,0.1400,-0.4826,0.620
0.313000,0.3798,0.1320,-0.5208,0.658
0.318000,0.3568,0.1245,-0.5542,0.671
