time,gFx,gFy,gFz,gFTotal
0.016133785247802734,-0.023,-0.39,-0.907,0.988
0.016345977783203125,-0.023,-0.39,-0.907,0.988
0.025639057159423828,-0.015,-0.396,-0.899,0.982
0.036450862884521484,-0.005,-0.404,-0.916,1.001
0.046369075775146484,0.002,-0.41,-0.932,1.018
0.056674957275390625,-0.001,-0.411,-0.931,1.018
0.06674790382385254,-0.008,-0.405,-0.918,1.003
0.07698202133178711,-0.011,-0.402,-0.909,0.994
0.0982980728149414,-0.007,-0.396,-0.893,0.977
0.0985250473022461,-0.007,-0.396,-0.893,0.977
0.1066129207611084,0.0,-0.389,-0.892,0.973
0.11712408065795898,0.009,-0.384,-0.887,0.967
0.12734293937683105,0.007,-0.384,-0.878,0.958
0.13703298568725586,0.001,-0.385,-0.874,0.955
0.14779090881347656,0.002,-0.383,-0.878,0.958
0.15848779678344727,0.009,-0.382,-0.884,0.963
0.16825389862060547,0.012,-0.38,-0.889,0.967
0.17876482009887695,0.015,-0.384,-0.894,0.973
0.20432710647583008,0.01,-0.389,-0.889,0.97
0.20461487770080566,0.01,-0.389,-0.889,0.97
0.20759892463684082,0.003,-0.389,-0.886,0.968
0.21785783767700195,-0.003,-0.39,-0.887,0.969
0.22802209854125977,-0.01,-0.392,-0.89,0.973
0.23783302307128906,-0.011,-0.395,-0.896,0.979
0.24885797500610352,-0.012,-0.398,-0.901,0.985
0.25876283645629883,-0.011,-0.399,-0.908,0.992
0.2682957649230957,-0.019,-0.392,-0.916,0.997
0.27985286712646484,-0.027,-0.387,-0.925,1.003
0.30682992935180664,-0.03,-0.395,-0.954,1.033
0.30710387229919434,-0.03,-0.395,-0.954,1.033
0.3090999126434326,-0.032,-0.402,-0.968,1.049
0.3184089660644531,-0.035,-0.41,-0.973,1.056
0.3290548324584961,-0.044,-0.416,-0.976,1.062
0.3392369747161865,-0.053,-0.415,-0.974,1.06
0.3498098850250244,-0.05,-0.406,-0.961,1.044
0.3601040840148926,-0.035,-0.403,-0.941,1.024
0.36981987953186035,-0.016,-0.407,-0.938,1.023
0.3802947998046875,-0.006,-0.404,-0.944,1.027
0.40701889991760254,-0.022,-0.377,-0.911,0.986
0.40729594230651855,-0.022,-0.377,-0.911,0.986
0.4095299243927002,-0.023,-0.366,-0.902,0.974
0.419266939163208,-0.007,-0.359,-0.904,0.973
0.4295620918273926,0.006,-0.354,-0.906,0.973
0.44042301177978516,0.013,-0.353,-0.906,0.972
0.45074987411499023,0.015,-0.357,-0.901,0.969
0.4610888957977295,0.016,-0.363,-0.896,0.967
0.4704549312591553,0.024,-0.365,-0.887,0.959
0.48047494888305664,0.034,-0.358,-0.876,0.947
0.5067689418792725,0.049,-0.345,-0.864,0.932
0.5069928169250488,0.049,-0.345,-0.864,0.932
0.5098247528076172,0.04,-0.349,-0.882,0.949
0.5200068950653076,0.04,-0.37,-0.888,0.963
0.5305089950561523,0.023,-0.395,-0.88,0.965
0.5409131050109863,-0.032,-0.401,-0.922,1.006
0.5507550239562988,-0.05,-0.379,-0.938,1.013
0.561345100402832,-0.072,-0.395,-0.901,0.986
0.571321964263916,-0.029,-0.381,-0.91,0.987
0.5818588733673096,-0.055,-0.38,-0.994,1.066
0.6096987724304199,-0.258,-0.641,-1.092,1.292
0.6099839210510254,-0.227,-0.562,-0.892,1.078
0.6122040748596191,-0.227,-0.562,-0.892,1.078
0.6207809448242188,-0.059,-0.428,-0.817,0.924
0.6315817832946777,0.062,-0.321,-0.863,0.923
0.6417388916015625,0.116,-0.325,-0.836,0.904
0.651486873626709,0.156,-0.346,-0.82,0.904
0.6619367599487305,0.19,-0.357,-0.818,0.913
0.6716628074645996,0.195,-0.381,-0.801,0.908
0.6825509071350098,0.136,-0.432,-0.798,0.918
0.7070779800415039,-0.142,-0.449,-0.642,0.796
0.7073040008544922,-0.142,-0.449,-0.642,0.796
0.711453914642334,-0.245,-0.426,-0.509,0.708
0.722296953201294,-0.145,-0.369,-0.705,0.809
0.7320728302001953,0.147,-0.456,-1.294,1.38
0.742805004119873,0.215,-0.703,-1.199,1.406
0.7522530555725098,0.05,-0.607,-0.932,1.113
0.7628540992736816,-0.082,-0.506,-0.819,0.966
0.7728028297424316,0.006,-0.467,-0.79,0.918
0.7827229499816895,0.143,-0.415,-0.7,0.826
0.8069748878479004,0.183,-0.47,-0.8,0.946
0.8072009086608887,0.183,-0.47,-0.8,0.946
0.8123068809509277,0.276,-0.776,-0.953,1.26
0.8228321075439453,0.165,-0.923,-0.898,1.298
0.832827091217041,-0.055,-0.794,-0.677,1.045
0.8433809280395508,-0.148,-0.499,-0.624,0.813
0.8530659675598145,-0.135,-0.375,-0.73,0.832
0.8636198043823242,-0.227,-0.395,-0.703,0.838
