time,gFx,gFy,gFz,gFTotal
0.005888938903808594,0.004,-0.657,-0.766,1.009
0.013992786407470703,0.026,-0.681,-0.784,1.039
0.025159835815429688,0.038,-0.674,-0.796,1.044
0.03498387336730957,0.034,-0.671,-0.788,1.036
0.04534196853637695,0.031,-0.666,-0.773,1.021
0.05397391319274902,0.026,-0.661,-0.758,1.006
0.06533002853393555,0.021,-0.66,-0.753,1.002
0.07399582862854004,0.017,-0.657,-0.755,1.001
0.08394670486450195,0.009,-0.653,-0.757,1.0
0.0950479507446289,0.002,-0.648,-0.764,1.002
0.1049189567565918,-0.0,-0.648,-0.771,1.007
0.11409997940063477,-0.001,-0.652,-0.774,1.012
0.1249380111694336,0.004,-0.652,-0.774,1.012
0.13521671295166016,0.01,-0.654,-0.772,1.012
0.14489483833312988,0.015,-0.658,-0.772,1.014
0.15385890007019043,0.014,-0.657,-0.772,1.014
0.16503286361694336,0.009,-0.655,-0.773,1.013
0.17385101318359375,0.004,-0.654,-0.776,1.015
0.18414688110351562,0.003,-0.656,-0.775,1.015
0.1950058937072754,0.014,-0.664,-0.77,1.017
0.20479083061218262,0.016,-0.664,-0.756,1.006
0.21378183364868164,0.033,-0.673,-0.752,1.01
0.2248249053955078,0.022,-0.673,-0.756,1.012
0.2353658676147461,0.016,-0.666,-0.751,1.004
0.24480199813842773,0.005,-0.667,-0.753,1.006
0.2538769245147705,-0.002,-0.662,-0.75,1.0
0.26493287086486816,-0.01,-0.655,-0.749,0.995
0.27398204803466797,-0.013,-0.651,-0.753,0.995
0.283721923828125,-0.012,-0.651,-0.768,1.007
0.2948439121246338,-0.003,-0.65,-0.779,1.015
0.30463600158691406,0.006,-0.657,-0.768,1.011
0.3136718273162842,0.008,-0.658,-0.766,1.01
0.3247058391571045,0.011,-0.657,-0.758,1.003
0.33457374572753906,0.012,-0.662,-0.747,0.998
0.3450937271118164,0.02,-0.667,-0.749,1.003
0.3536520004272461,0.033,-0.674,-0.763,1.019
0.3651149272918701,0.028,-0.666,-0.772,1.02
0.373654842376709,0.018,-0.651,-0.778,1.015
0.3838179111480713,0.011,-0.645,-0.785,1.016
0.394834041595459,0.01,-0.647,-0.784,1.017
0.40448784828186035,0.014,-0.652,-0.78,1.017
0.4139437675476074,0.018,-0.659,-0.777,1.019
