time,gFx,gFy,gFz,TgF
0.012000,-0.1126,0.4903,0.9225,1.051
0.012000,-0.1179,0.4881,0.9273,1.055
0.012000,-0.1172,0.4844,0.9308,1.056
0.012000,-0.1170,0.4825,0.9371,1.060
0.013000,-0.1160,0.4788,0.9417,1.063
0.013000,-0.1121,0.4737,0.9459,1.064
0.013000,-0.1035,0.4710,0.9496,1.065
0.013000,-0.1006,0.4666,0.9562,1.069
0.013000,-0.0952,0.4627,0.9581,1.068
0.014000,-0.0913,0.4620,0.9574,1.067
0.020000,-0.0877,0.4620,0.9584,1.067
0.020000,-0.0872,0.4595,0.9569,1.065
0.021000,-0.0830,0.4603,0.9535,1.062
0.023000,-0.0803,0.4637,0.9500,1.060
0.026000,-0.0825,0.4695,0.9422,1.056
0.029000,-0.0830,0.4737,0.9422,1.058
0.032000,-0.0813,0.4747,0.9378,1.054
0.035000,-0.0796,0.4717,0.9388,1.054
0.036000,-0.0816,0.4673,0.9398,1.053
0.039000,-0.0833,0.4671,0.9422,1.055
0.041000,-0.0833,0.4678,0.9430,1.056
0.052000,-0.0845,0.4698,0.9408,1.055
0.052000,-0.0867,0.4712,0.9395,1.055
0.052000,-0.0847,0.4761,0.9305,1.049
0.052000,-0.0840,0.4788,0.9220,1.042
0.053000,-0.0818,0.4773,0.9146,1.035
0.057000,-0.0747,0.4800,0.9059,1.028
0.059000,-0.0747,0.4812,0.8954,1.019
0.061000,-0.0725,0.4837,0.8888,1.014
0.064000,-0.0742,0.4844,0.8783,1.006
0.066000,-0.1345,0.4905,0.8438,0.985
0.068000,-0.2288,0.5118,0.7891,0.968
0.071000,-0.1731,0.5162,0.8128,0.978
0.073000,-0.1279,0.5220,0.8316,0.990
0.076000,-0.0921,0.4886,0.8238,0.962
0.078000,-0.0764,0.4678,0.8353,0.960
0.081000,-0.0679,0.4764,0.8394,0.968
0.084000,-0.0667,0.4817,0.8365,0.968
0.087000,-0.0618,0.4791,0.8360,0.966
0.088000,-0.0769,0.4615,0.8648,0.983
0.093000,-0.1148,0.4612,0.9288,1.043
0.093000,-0.1155,0.4820,0.9330,1.056
0.096000,-0.1123,0.4939,0.9308,1.060
0.098000,-0.1116,0.4983,0.9398,1.070
0.103000,-0.1040,0.5010,0.9466,1.076
0.103000,-0.0918,0.4922,0.9515,1.075
0.106000,-0.0884,0.4876,0.9383,1.061
0.109000,-0.0925,0.4749,0.9303,1.049
0.111000,-0.1013,0.4639,0.9298,1.044
0.112000,-0.1030,0.4595,0.9293,1.042
0.115000,-0.1043,0.4554,0.9276,1.039
0.118000,-0.0986,0.4583,0.9261,1.038
0.120000,-0.0911,0.4573,0.9259,1.037
0.123000,-0.0857,0.4615,0.9283,1.040
0.126000,-0.0828,0.4625,0.9271,1.039
0.128000,-0.0803,0.4639,0.9303,1.043
0.130000,-0.0789,0.4644,0.9288,1.041
0.132000,-0.0840,0.4622,0.9259,1.038
0.134000,-0.0857,0.4607,0.9222,1.034
0.138000,-0.0872,0.4615,0.9173,1.031
0.140000,-0.0923,0.4605,0.9137,1.027
0.144000,-0.0955,0.4607,0.9115,1.026
0.145000,-0.0977,0.4642,0.9071,1.024
0.147000,-0.0960,0.4666,0.9056,1.023
0.150000,-0.0964,0.4676,0.9019,1.021
0.152000,-0.0933,0.4693,0.8988,1.018
0.154000,-0.0923,0.4688,0.8973,1.017
0.157000,-0.0906,0.4686,0.8951,1.014
0.161000,-0.0916,0.4703,0.8922,1.013
0.162000,-0.0930,0.4700,0.8912,1.012
0.165000,-0.0938,0.4698,0.8902,1.011
0.168000,-0.0906,0.4688,0.8893,1.009
0.169000,-0.0886,0.4656,0.8893,1.008
0.172000,-0.0855,0.4668,0.8897,1.008
0.174000,-0.0835,0.4656,0.8897,1.008
0.177000,-0.0803,0.4654,0.8927,1.010
0.179000,-0.0794,0.4637,0.8968,1.013
0.182000,-0.0772,0.4629,0.8983,1.013
0.184000,-0.0786,0.4620,0.9000,1.015
0.187000,-0.0781,0.4612,0.9002,1.015
0.189000,-0.0759,0.4600,0.9017,1.015
0.192000,-0.0725,0.4581,0.9024,1.015
0.194000,-0.0718,0.4583,0.9015,1.014
0.196000,-0.0696,0.4588,0.8993,1.012
0.199000,-0.0664,0.4576,0.8990,1.011
0.201000,-0.0671,0.4566,0.8954,1.007
0.204000,-0.0635,0.4559,0.8949,1.006
0.206000,-0.0628,0.4563,0.8912,1.003
0.209000,-0.0606,0.4573,0.8871,1.000
0.211000,-0.0601,0.4573,0.8836,0.997
0.214000,-0.0571,0.4583,0.8800,0.994
0.216000,-0.0547,0.4588,0.8761,0.990
0.219000,-0.0542,0.4583,0.8726,0.987
0.221000,-0.0523,0.4588,0.8714,0.986
0.224000,-0.0488,0.4590,0.8683,0.983
0.227000,-0.0481,0.4585,0.8665,0.982
0.229000,-0.0469,0.4571,0.8670,0.981
0.231000,-0.0447,0.4581,0.8663,0.981
0.234000,-0.0430,0.4590,0.8624,0.978
0.236000,-0.0427,0.4578,0.8646,0.979
0.238000,-0.0430,0.4576,0.8648,0.979
