time,xAcc,xGyro
0.0000,0.8495,-0.3758
0.0500,0.8834,-0.8253
0.1000,0.7834,-0.8955
0.1500,0.6740,-0.8625
0.2000,0.6754,-0.6063
0.2500,0.5673,-0.0841
0.3000,0.5980,-0.2942
0.3500,0.5860,-0.1479
0.4000,0.5351,-0.1233
0.4500,0.5089,-0.1769
0.5000,0.5181,-0.2425
0.5500,0.4275,-0.0477
0.6000,0.3806,-0.0938
0.6500,0.3725,-0.1968
0.7000,0.3404,-0.3091
0.7500,0.3517,-0.3665
0.8000,0.3694,-0.2859
0.8500,0.3987,-0.1864
0.9000,0.4051,-0.0786
0.9500,0.4320,0.0166
1.0000,0.4347,0.0573
1.0500,0.4352,0.1265
1.1000,0.4495,0.1187
1.1500,0.4937,0.0913
1.2000,0.5460,0.1600
1.2500,0.6037,0.2280
1.3000,0.6747,0.1996
1.3500,0.6949,0.1008
1.4000,0.7131,0.2167
1.4500,0.6993,0.2839
1.5000,0.7359,0.3063
1.5500,0.7482,0.3383
1.6000,0.7835,0.3034
1.6500,0.7919,0.2108
1.7000,0.7823,0.2023
1.7500,0.7752,0.2482
1.8000,0.7826,0.1233
1.8500,0.7936,-0.3112
1.9000,0.7211,-0.5083
1.9500,0.6870,-0.5418
2.0000,0.6400,-0.5413
2.0500,0.6157,-0.5919
2.1000,0.5437,-0.5293
2.1500,0.5224,-0.5906
2.2000,0.4485,-0.5129
2.2500,0.4132,-0.6272
2.3000,0.3456,-0.7235
2.3500,0.3486,-0.7625
2.4000,0.2971,-0.7286
2.4500,0.2772,-0.4002
2.5000,0.2621,-0.3380
2.5500,0.2196,-0.2546
2.6000,0.2188,-0.2104
2.6500,0.1751,0.0104
2.7000,0.2031,0.2007
2.7500,0.1068,0.7213
2.8000,0.2203,0.5048
2.8500,0.2693,0.6350
2.9000,0.2679,0.6983
2.9500,0.3067,0.2310
3.0000,0.3740,-0.0670
3.0500,0.4557,-0.2470
3.1000,0.5213,-0.3216
3.1500,0.5829,-0.3080
3.2000,0.6388,-0.2342
3.2500,0.6581,-0.1492
3.3000,0.6651,-0.0279
3.3500,0.6227,-0.0400
3.4000,0.6539,-0.0317
3.4500,0.6770,-0.0846
3.5000,0.6622,0.0515
3.5500,0.6997,0.0927
3.6000,0.7700,0.0684
3.6500,0.9022,-0.1619
3.7000,0.8789,-0.2507
3.7500,0.7411,-0.0917
3.8000,0.6407,-0.1103
3.8500,0.5082,-0.0627
3.9000,0.5780,-0.1396
3.9500,0.4312,-0.0650
4.0000,0.3693,0.1550
4.0500,0.3128,0.3395
4.1000,0.4264,-0.1607
4.1500,0.3827,0.3629
4.2000,0.3244,0.4293
4.2500,0.2947,0.2887
4.3000,0.1992,0.1112
4.3500,0.1679,0.4325
4.4000,0.1692,0.3553
4.4500,0.2310,0.1469
4.5000,0.2132,0.1422
4.5500,0.2525,0.2314
4.6000,0.2522,0.0573
4.6500,0.2396,0.0643
4.7000,0.3027,-0.1024
4.7500,0.3782,-0.8492
4.8000,0.4866,-0.9709
4.8500,0.5381,-0.4886
4.9000,0.6050,0.0180
4.9500,0.6447,0.0515
5.0000,0.6636,0.0672
5.0500,0.6910,0.1795
5.1000,0.6742,0.2025
5.1500,0.6852,0.1436
5.2000,0.6783,0.1427
5.2500,0.7186,0.1213
5.3000,0.7139,0.1804
5.3500,0.6976,0.1923
5.4000,0.7120,0.1703
5.4500,0.6904,0.1225
5.5000,0.6873,0.0630
5.5500,0.6908,0.1040
5.6000,0.6703,0.1190
5.6500,0.6503,0.1468
5.7000,0.6547,0.0224
5.7500,0.6057,-0.0148
5.8000,0.5752,0.0021
5.8500,0.5868,-0.0859
5.9000,0.5824,-0.1056
5.9500,0.5746,-0.1190
6.0000,0.6091,-0.2330
6.0500,0.5674,-0.0082
6.1000,0.4713,0.2495
6.1500,0.4344,0.0885
6.2000,0.4743,-0.1701
