time,xAcc,xGyro
0.0000,0.5831,0.0594
0.0500,0.5728,-0.0557
0.1000,0.5517,-0.0130
0.1500,0.5719,0.0372
0.2000,0.5631,0.0236
0.2500,0.5798,0.0437
0.3000,0.5989,0.0448
0.3500,0.5753,0.0604
0.4000,0.5875,0.0401
0.4500,0.5574,0.0802
0.5000,0.5668,0.1754
0.5500,0.5195,0.3163
0.6000,0.5267,0.3704
0.6500,0.5798,0.3817
0.7000,0.6145,0.3853
0.7500,0.5755,0.3999
0.8000,0.5525,0.2685
0.8500,0.4818,-0.0526
0.9000,0.4415,0.1208
0.9500,0.4276,0.0471
1.0000,0.4199,-0.0684
1.0500,0.4173,-0.0457
1.1000,0.4431,-0.0383
1.1500,0.5082,0.1013
1.2000,0.5635,-0.0347
1.2500,0.6818,-0.1512
1.3000,0.7279,-0.4127
1.3500,0.7878,-0.7976
1.4000,0.6364,-0.5741
1.4500,0.6150,-0.1502
1.5000,0.7388,0.0790
1.5500,0.9078,0.2333
1.6000,0.8937,0.4232
1.6500,0.5822,0.0873
1.7000,0.6284,-0.6165
1.7500,0.7692,-0.0982
1.8000,1.0829,0.6851
1.8500,0.9231,1.0636
1.9000,0.9856,1.0484
1.9500,0.7752,0.0323
2.0000,0.6145,0.7352
2.0500,0.5872,0.8346
2.1000,0.7026,0.6185
2.1500,0.7201,0.2832
2.2000,0.6271,0.3034
2.2500,0.6560,0.2950
2.3000,0.5962,0.0610
2.3500,0.5176,-0.1713
2.4000,0.4223,0.0143
2.4500,0.4064,0.3035
2.5000,0.3501,0.4785
2.5500,0.2559,0.2392
2.6000,0.1308,-0.2246
2.6500,0.0061,-0.1544
2.7000,-0.0047,-0.0000
2.7500,0.0111,-0.0780
2.8000,-0.0210,-0.1541
2.8500,0.0189,0.1049
2.9000,0.0187,0.1917
2.9500,-0.0074,0.1825
3.0000,-0.0013,0.0135
3.0500,0.0584,0.0513
3.1000,0.1507,0.0443
3.1500,0.2472,-0.1167
3.2000,0.3213,-0.2221
3.2500,0.3244,-0.0700
3.3000,0.3762,-0.0271
3.3500,0.4417,-0.1226
3.4000,0.5765,-0.4043
3.4500,0.6709,-0.1242
3.5000,0.7357,0.1794
3.5500,0.7166,0.2075
3.6000,0.7044,0.1737
3.6500,0.7066,0.1562
3.7000,0.7077,0.4341
3.7500,0.7271,0.6201
3.8000,0.8202,0.8696
3.8500,0.9158,1.1856
3.9000,1.0263,1.3691
3.9500,1.0554,1.3969
4.0000,1.1335,1.2064
4.0500,1.1856,0.9108
4.1000,1.0889,0.4401
4.1500,0.8193,-0.1575
4.2000,0.6428,-0.1464
4.2500,0.5608,0.1973
4.3000,0.4844,0.5210
4.3500,0.6163,0.4638
4.4000,0.5145,0.5528
4.4500,0.4573,0.5551
4.5000,0.3187,0.4533
4.5500,0.2301,0.4396
4.6000,0.0529,0.6434
4.6500,-0.1176,0.3368
4.7000,0.0699,0.3246
4.7500,0.1877,0.3713
4.8000,0.1926,0.2180
4.8500,0.0532,0.1068
4.9000,0.0099,-0.0150
4.9500,0.0207,-0.5067
5.0000,0.1098,-0.4781
5.0500,0.1966,0.0475
5.1000,0.3694,0.4293
5.1500,0.4897,0.3129
5.2000,0.6564,0.0863
5.2500,0.7921,-0.3597
5.3000,1.0314,-0.3713
5.3500,1.0446,0.7041
5.4000,0.6585,1.3470
5.4500,0.6518,1.7410
5.5000,0.7459,1.2774
5.5500,0.9505,0.7385
5.6000,0.9822,0.1489
5.6500,0.9493,-0.0372
5.7000,0.7145,0.2988
5.7500,0.7357,0.4782
5.8000,0.6897,0.6258
5.8500,0.5611,0.6735
5.9000,0.4965,0.4732
5.9500,0.5373,0.5527
6.0000,0.5247,1.1711
6.0500,0.4089,0.4802
6.1000,0.1262,0.5857
6.1500,-0.1104,0.2034
6.2000,0.0117,0.0121
6.2500,0.2026,-0.0277
6.3000,0.0950,-0.1213
6.3500,0.0237,0.3394
6.4000,0.0645,0.3810
6.4500,0.1918,-0.0735
6.5000,0.2084,-0.7337
6.5500,0.2154,-0.3628
6.6000,0.2500,0.1810
6.6500,0.1840,0.4608
6.7000,0.1684,0.1849
6.7500,0.1989,-0.2349
6.8000,0.3061,-0.1982
6.8500,0.4668,-0.0569
6.9000,0.5022,0.4765
6.9500,0.6921,0.9153
7.0000,0.8153,1.1131
7.0500,0.8304,0.7572
7.1000,0.9520,0.5444
7.1500,1.0145,-0.0471
7.2000,0.8617,-0.5451
7.2500,0.6708,-0.1265
7.3000,0.5457,0.1837
7.3500,0.5528,0.4052
7.4000,0.7342,0.6167
7.4500,0.8861,0.6051
7.5000,0.9582,0.5335
7.5500,0.6140,0.7985
7.6000,0.4934,0.9291
7.6500,0.5604,0.7609
7.7000,0.4612,0.9729
7.7500,0.2010,0.5573
7.8000,-0.0463,-0.6463
7.8500,0.1787,-0.3335
7.9000,0.3772,-0.2428
7.9500,-0.0323,0.3721
8.0000,0.1139,-0.0698
8.0500,0.1490,-0.2164
8.1000,0.2730,0.3722
8.1500,0.2085,0.2548
8.2000,0.2497,0.3215
8.2500,0.2005,-0.0947
8.3000,0.0624,0.1176
8.3500,-0.0296,1.1391
8.4000,0.2033,0.9601
8.4500,0.0758,-0.5876
8.5000,-0.0004,-0.7554
8.5500,-0.0437,0.2826
8.6000,0.0603,0.5658
8.6500,0.0718,-0.3156
8.7000,0.2341,-0.3378
8.7500,0.5950,-0.3491
8.8000,0.5687,-0.4169
8.8500,0.4488,0.4577
8.9000,0.5376,0.8183
8.9500,0.5467,0.6269
9.0000,0.5302,0.5605
9.0500,0.5010,0.2274
9.1000,0.5253,0.1473
9.1500,0.6419,0.0965
9.2000,0.6720,-0.2275
9.2500,0.7227,0.1187
9.3000,0.7563,0.2283
9.3500,0.8242,0.1579
9.4000,0.8569,0.2754
9.4500,0.9007,0.5070
9.5000,0.7899,0.4654
9.5500,0.7345,0.3182
9.6000,0.7184,0.2060
9.6500,0.6375,-0.0027
9.7000,0.5445,-0.0432
9.7500,0.4460,-0.0110
9.8000,0.2677,-0.0908
9.8500,0.3538,-0.1037
9.9000,0.2622,-0.0730
9.9500,0.3300,0.0002
