time,xAcc,xGyro
0.0000,0.6210,-0.0286
0.0500,0.6639,0.1547
0.1000,0.6630,-0.1318
0.1500,0.6228,0.1118
0.2000,0.5899,0.1997
0.2500,0.6084,0.4564
0.3000,0.5819,1.2766
0.3500,0.6132,2.0342
0.4000,0.5693,2.5178
0.4500,0.4575,1.1631
0.5000,0.2280,-0.0997
0.5500,0.0481,-0.3895
0.6000,-0.0670,0.2271
0.6500,0.0606,0.8486
0.7000,0.0397,0.6596
0.7500,0.0915,0.3738
0.8000,0.0067,0.6801
0.8500,0.0282,0.4486
0.9000,0.1521,0.1444
0.9500,0.2477,0.0016
1.0000,0.3230,-0.1738
1.0500,0.3740,-0.1413
1.1000,0.3801,-0.3802
1.1500,0.5554,0.0447
1.2000,0.3246,0.7520
1.2500,0.3808,0.8963
1.3000,0.4745,1.2716
1.3500,0.5540,1.1034
1.4000,0.5229,0.3464
1.4500,0.5405,0.1052
1.5000,0.5403,0.3771
1.5500,0.5869,0.9233
1.6000,0.6961,1.3391
1.6500,0.4432,0.6031
1.7000,0.3765,0.7796
1.7500,0.3388,0.8766
1.8000,0.0623,0.2554
1.8500,0.0428,0.2816
1.9000,0.2502,-0.1202
1.9500,0.2768,-0.0746
2.0000,0.2841,-0.2867
2.0500,0.1244,-0.4537
2.1000,0.1037,-0.2916
2.1500,0.0586,-0.2328
2.2000,0.1414,-0.0976
2.2500,0.0839,-0.2258
2.3000,0.0961,-0.2912
2.3500,0.0333,-0.3555
2.4000,-0.0177,-0.2800
2.4500,-0.0776,-0.2437
2.5000,-0.0275,-0.4364
2.5500,-0.0171,-0.4965
2.6000,0.0381,-0.0550
2.6500,0.1074,0.3972
2.7000,0.1546,0.7448
2.7500,0.2285,0.9299
2.8000,0.3099,0.5230
2.8500,0.4298,0.0073
2.9000,0.4137,-0.0406
2.9500,0.4077,0.1295
3.0000,0.3895,0.1593
3.0500,0.3307,-0.0179
3.1000,0.3487,0.1372
3.1500,0.4826,0.5803
3.2000,0.6389,0.3205
3.2500,0.5971,0.3672
3.3000,0.4102,0.5168
3.3500,0.4263,0.3407
3.4000,0.3842,0.0821
3.4500,0.3119,0.0939
3.5000,0.2833,0.4928
3.5500,0.3093,0.4954
3.6000,0.3064,0.2092
3.6500,0.1475,-0.3695
3.7000,0.0750,-0.4501
3.7500,0.1642,-0.1710
3.8000,0.1587,-0.3551
3.8500,0.0352,-0.3009
3.9000,0.0316,-0.5730
3.9500,0.0259,-1.3022
4.0000,0.0883,-1.0346
4.0500,0.2269,-0.7141
4.1000,0.2570,-0.5871
4.1500,0.2117,-0.6346
4.2000,0.2597,-0.6763
4.2500,0.3946,-0.9165
4.3000,0.4656,-1.0363
4.3500,0.6836,-0.6816
4.4000,0.5578,-0.4225
4.4500,0.4754,-0.1726
4.5000,0.6195,0.4485
4.5500,0.5579,0.9772
4.6000,0.4631,0.8111
4.6500,0.4701,0.5732
4.7000,0.4840,0.7756
4.7500,0.5797,0.8581
4.8000,0.5554,0.0982
4.8500,0.3773,-0.8591
4.9000,0.2185,-0.7193
4.9500,0.2451,0.4483
5.0000,0.4054,0.4860
5.0500,0.2066,-0.0728
5.1000,0.1851,-0.3169
5.1500,0.1354,-0.2192
5.2000,0.1392,0.0387
5.2500,0.2283,0.2241
5.3000,0.3002,0.1061
5.3500,0.2975,-0.3050
5.4000,0.2628,-0.5250
5.4500,0.1911,-0.7217
5.5000,0.2311,-0.6801
5.5500,0.1974,-0.5619
5.6000,0.2016,-0.2844
5.6500,0.3412,0.1201
5.7000,0.4876,0.2302
5.7500,0.3798,0.0222
5.8000,0.3580,0.2414
5.8500,0.3412,0.4821
5.9000,0.3056,0.7915
5.9500,0.2015,0.9099
6.0000,0.2935,1.1008
6.0500,0.1058,0.8670
6.1000,0.2066,0.5299
6.1500,0.1420,0.0775
6.2000,0.2609,-0.1884
6.2500,0.4343,-0.3987
6.3000,0.4448,-0.5841
6.3500,0.5168,-0.3817
6.4000,0.5797,-0.2660
6.4500,0.5970,-0.4221
6.5000,0.5807,-0.4590
6.5500,0.6532,-0.4769
6.6000,0.5555,-0.6867
6.6500,0.5160,-0.6544
6.7000,0.4685,-0.2592
6.7500,0.4489,-0.1010
6.8000,0.4493,0.0144
6.8500,0.4395,0.1668
6.9000,0.5089,0.3337
6.9500,0.4303,0.4818
7.0000,0.4926,0.3022
7.0500,0.5139,0.2321
7.1000,0.4840,0.2515
7.1500,0.4914,0.1755
7.2000,0.5155,0.5522
7.2500,0.4167,0.4127
7.3000,0.3423,0.1531
7.3500,0.4027,0.6302
7.4000,0.4451,0.5938
7.4500,0.4432,-0.0096
7.5000,0.4777,-0.2956
7.5500,0.4777,-0.3019
7.6000,0.4732,-0.2708
7.6500,0.5095,-0.3246
7.7000,0.4662,-0.4456
7.7500,0.4323,-0.2124
7.8000,0.4102,-0.1610
7.8500,0.3943,-0.2006
7.9000,0.4435,-0.3940
7.9500,0.4131,-0.5829
8.0000,0.4237,-0.3502
8.0500,0.3769,0.0298
8.1000,0.3672,0.1192
8.1500,0.4050,-0.0678
8.2000,0.4181,-0.0410
8.2500,0.3904,0.1736
8.3000,0.4055,0.0638
8.3500,0.4231,0.0404
8.4000,0.3861,0.0876
8.4500,0.4797,0.2767
8.5000,0.3929,-0.0661
8.5500,0.3571,-0.2632
8.6000,0.5249,0.1210
8.6500,0.4211,0.2026
8.7000,0.4337,0.2035
8.7500,0.4268,0.0217
8.8000,0.4239,-0.1991
8.8500,0.4078,-0.0871
8.9000,0.4370,0.0609
8.9500,0.4549,-0.0875
9.0000,0.4299,-0.0186
9.0500,0.4111,-0.0047
9.1000,0.4022,-0.0541
9.1500,0.4001,-0.0472
9.2000,0.3981,-0.0736
9.2500,0.4279,-0.0183
9.3000,0.4405,-0.0404
9.3500,0.4077,-0.0014
9.4000,0.3900,-0.0245
9.4500,0.4026,-0.0024
9.5000,0.4010,0.0199
9.5500,0.3904,0.0110
9.6000,0.4115,-0.0176
9.6500,0.3996,-0.0762
9.7000,0.3828,0.0016
9.7500,0.4173,-0.0647
9.8000,0.3852,-0.1192
9.8500,0.4096,-0.0149
9.9000,0.4138,0.0136
9.9500,0.4286,0.0043
10.0000,0.4133,-0.0203
